code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
600060,2025-10-13,2025-10-14,23.253,24.256,100,4.31,take_partial
601665,2025-10-13,2025-10-14,5.616,5.834,1400,3.89,trend_break
002928,2025-10-13,2025-10-15,9.76,10.749,100,10.14,take_partial
603885,2025-10-13,2025-10-15,13.133,13.786,100,4.97,take_partial
002928,2025-10-13,2025-10-15,9.76,10.749,500,10.14,take_band
600060,2025-10-13,2025-10-15,23.253,24.276,100,4.4,take_partial_final
000921,2025-10-13,2025-10-17,24.084,23.996,300,-0.37,trend_break
603885,2025-10-13,2025-10-17,13.133,13.836,500,5.35,take_partial_final
603298,2025-10-13,2025-10-24,26.006,27.123,100,4.29,take_partial
603298,2025-10-13,2025-10-27,26.006,27.812,200,6.95,take_partial_final
