股票代码,股票名称,行业
601928,凤凰传媒,文化传媒
000997,新 大 陆,互联网服务
600886,国投电力,电力行业
603027,千禾味业,食品饮料
601985,中国核电,电力行业
002507,涪陵榨菜,食品饮料
600900,长江电力,电力行业
600757,长江传媒,文化传媒
600027,华电国际,电力行业
000099,中信海直,航空机场

