股票代码,股票名称,建议买入价,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
600886,,28.3,0.9393939393939394,0.8529411764705882,67,33,34,35,32
600887,,26.37,0.9090909090909091,0.8529411764705882,67,33,34,35,31
002832,,16.64,0.8181818181818182,0.8235294117647058,67,33,34,39,28
600398,,6.12,0.9696969696969697,0.7941176470588235,67,33,34,33,30
600872,,15.03,1.0,0.7647058823529411,67,33,34,34,29
601038,,10.51,1.0,0.7647058823529411,67,33,34,35,30
601928,,9.71,1.0,0.7647058823529411,67,33,34,35,32
601966,,8.93,1.0,0.7647058823529411,67,33,34,31,31
000725,,9.98,0.9696969696969697,0.7647058823529411,67,33,34,31,34
000848,,8.61,0.9696969696969697,0.7647058823529411,67,33,34,30,34
002507,,11.78,0.9696969696969697,0.7647058823529411,67,33,34,28,38
600285,,22.73,0.9696969696969697,0.7647058823529411,67,33,34,34,31
000921,,25.46,1.0,0.7352941176470589,67,33,34,33,32
002332,,8.46,1.0,0.7352941176470589,67,33,34,34,30
601200,,15.36,1.0,0.7352941176470589,67,33,34,35,31
000099,,6.65,0.9696969696969697,0.7352941176470589,67,33,34,27,35
600004,,7.79,0.9696969696969697,0.7352941176470589,67,33,34,30,36
601001,,14.43,0.9696969696969697,0.7352941176470589,67,33,34,32,33
000885,,25.52,0.9393939393939394,0.7352941176470589,67,33,34,31,34
600019,,5.94,0.9393939393939394,0.7352941176470589,67,33,34,32,33
600598,,15.37,0.9393939393939394,0.7352941176470589,67,33,34,36,30
600729,,20.49,0.9393939393939394,0.7352941176470589,67,33,34,33,34
000603,,10.39,0.8787878787878788,0.7352941176470589,67,33,34,35,29
600827,,17.56,0.8484848484848485,0.7352941176470589,67,33,34,35,32
000895,,16.34,0.9696969696969697,0.7058823529411765,67,33,34,31,35
600012,,11.1,0.9696969696969697,0.7058823529411765,67,33,34,33,32
600817,,7.78,0.9696969696969697,0.7058823529411765,67,33,34,36,31
600535,,15.85,0.9393939393939394,0.7058823529411765,67,33,34,31,34
603899,,22.99,0.9393939393939394,0.7058823529411765,67,33,34,32,34
600587,,12.16,0.9090909090909091,0.7058823529411765,67,33,34,31,36
600557,,12.02,0.8787878787878788,0.7058823529411765,67,33,34,35,31
601107,,5.72,0.8787878787878788,0.7058823529411765,67,33,34,28,38
000729,,12.65,0.7878787878787878,0.7058823529411765,67,33,34,34,32
601600,,10.86,0.7878787878787878,0.7058823529411765,67,33,34,32,33
