股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,异动催化数,异动催化词,异动催化分,综合分
sh.600894,nan,6.6,6.13,2.83,2.59,1208359706.0,1.3,7.32,22.91,0.976,0,,0,,0.0,42.45
sh.600887,nan,6.6,6.13,2.83,2.59,1208359706.0,1.3,7.32,22.91,0.976,0,,0,,0.0,42.45
sh.600031,nan,9.39,9.39,2.23,1.84,519116620.0,1.3,-3.49,15.78,0.933,0,,0,,0.0,25.2
sh.600426,nan,26.57,25.97,1.22,1.36,2049705357.0,1.13,1.8,0.76,0.989,0,,0,,0.0,24.52
sh.601898,nan,26.57,25.97,1.22,1.36,2049705357.0,1.13,1.8,0.76,0.989,0,,0,,0.0,24.52
sh.601952,nan,8.98,8.75,3.89,3.44,491294626.0,1.41,0.45,9.51,0.909,0,,0,,0.0,24.1
sh.603100,nan,11.94,11.38,1.13,1.43,301588064.0,0.89,1.27,9.14,0.981,0,,0,,0.0,24.05
