股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600508,nan,10.05,9.54,3.75,2.44,382828426.0,2.45,11.1,4.84,1.0,0,,50.13
sh.603402,陕西旅游,19.18,18.25,3.4,2.84,426560441.0,1.78,3.23,2.31,0.987,1,消费,45.43
sh.600483,nan,11.12,10.26,2.09,1.5,661663547.0,1.5,6.88,17.85,1.0,0,,42.94
sh.600750,nan,24.14,22.69,1.37,0.89,212882034.0,1.78,9.77,4.42,1.0,0,,40.91
sh.600177,nan,13.81,13.12,0.95,0.62,1008108869.0,1.75,7.12,5.15,1.0,0,,39.4
sh.600674,nan,15.02,14.72,1.43,0.84,1071780718.0,2.04,4.31,0.91,0.998,0,,37.27
sh.600150,中国船舶,24.9,24.45,1.11,1.11,375649638.0,1.16,3.61,5.34,0.963,1,军工,36.03
sh.600085,nan,19.18,18.25,3.4,2.84,426560441.0,1.78,3.23,2.31,0.987,0,,35.43
sh.600887,nan,26.01,26.01,1.14,0.91,1906594603.0,1.42,2.75,5.61,0.959,0,,27.07
sh.601666,nan,24.9,24.45,1.11,1.11,375649638.0,1.16,3.61,5.34,0.963,0,,26.03
sh.600521,nan,15.85,15.85,1.4,1.8,334396101.0,0.65,-2.8,1.01,0.914,0,,10.57
