股票代码,股票名称,建议买入价,动量分,20日收益%,60日收益%,MA20斜率%,距20日高点%
300534,陇神戎发,14.25,71.68,101.27,52.08,35.16,-8.77
000779,甘咨询,11.67,43.97,49.81,33.07,30.43,-4.58
002860,星帅尔,19.77,40.28,35.5,47.1,23.15,-0.55
603118,共进股份,17.31,29.09,42.94,8.87,14.17,-3.19
002832,比音勒芬,25.35,23.78,22.82,26.69,5.5,-2.5
002440,闰土股份,12.4,23.6,20.98,19.81,14.22,-6.34
000566,海南海药,5.83,20.49,16.83,15.45,30.42,-13.37
