板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
航空机场,2,0,0,0,7,-1.4,2.6,NEW
建筑建材,1,0,0,0,3,-0.6,1.4,NEW
金融,1,0,0,0,3,-0.6,1.4,NEW
工程机械,1,0,0,0,3,-0.6,1.4,NEW
传媒,1,0,0,0,4,-0.8,1.2,NEW
物流,1,0,0,3,0,-0.9,1.1,-0.3
消费,1,0,0,4,3,-1.8,0.19999999999999996,-2.8
军工,2,1,0,10,14,-4.8,-0.7999999999999998,-3.8
基建市政工程,1,0,1,4,3,-2.8,-0.7999999999999998,NEW
农业,2,1,1,3,21,-5.1,-1.0999999999999996,-2.7
电力,4,0,1,23,21,-12.1,-4.1,-5.7
石油石化,2,0,0,19,15,-8.700000000000001,-4.700000000000001,NEW
煤炭,2,0,0,19,15,-8.700000000000001,-4.700000000000001,NEW
环保,1,0,0,15,12,-6.9,-4.9,NEW
有色金属,1,0,0,15,12,-6.9,-4.9,NEW
教育,3,1,0,19,32,-11.100000000000001,-5.100000000000001,+2.8
人工智能,3,1,1,22,34,-13.400000000000002,-7.400000000000002,-9.0
