股票代码,股票名称,建议买入价
600031,三一重工,18.88
000983,山西焦煤,6.14
601156,东航物流,16.11
002128,电投能源,28.87
600970,中材国际,9.45
002020,京新药业,14.52
000807,云铝股份,30.04
600754,锦江酒店,25.3
601225,陕西煤业,23.63
601898,中煤能源,16.31
600196,复星医药,24.94
002746,仙坛股份,5.76
601965,中国汽研,16.13
601857,中国石油,11.1
600521,华海药业,15.55
603298,杭叉集团,24.07
000060,中金岭南,5.91
000975,山金国际,27.6
603238,诺邦股份,14.88
600894,广日股份,8.69
600219,南山铝业,5.71
600223,福瑞达,6.57
600801,华新建材,21.1
605183,确成股份,17.98
000915,华特达因,26.39
600256,广汇能源,5.93
600508,上海能源,8.68
