code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
600598,2026-07-27,2026-07-28,11.812,11.938,500,1.07,trend_break
603580,2026-07-27,2026-07-28,45.463,52.565,100,15.62,take_partial_final
603766,2026-07-27,2026-07-29,13.864,14.495,100,4.56,take_partial
600562,2026-07-27,2026-07-29,24.094,24.815,100,2.99,take_band
603766,2026-07-27,2026-07-30,13.864,14.905,300,7.51,take_partial_final
601009,2026-07-27,2026-07-30,11.231,11.768,100,4.78,take_partial_final
600901,2026-07-27,2026-08-05,6.537,6.24,1300,-4.54,stop_hard
