股票代码,股票名称,综合分
600332,白云山,100.0
300363,博腾股份,100.0
300663,科蓝软件,100.0
001965,招商公路,100.0
002670,国盛证券,100.0
688819,天能股份,100.0
300076,*ST宁视,100.0
600648,外高桥,100.0
301656,联合动力,100.0
301535,浙江华远,100.0
601019,山东出版,98.76
002032,苏 泊 尔,97.75
000828,东莞控股,97.7
605339,南侨食品,97.69
603230,内蒙新华,96.37
000557,西部创业,96.27
002139,拓邦股份,95.68
002911,佛燃能源,95.67
688153,唯捷创芯,95.19
603325,博隆技术,95.15
600012,皖通高速,94.88
603075,热威股份,94.23
600039,四川路桥,93.99
300068,ST南都,93.51
600305,恒顺醋业,93.39
002643,万润股份,93.39
002223,鱼跃医疗,93.26
601107,四川成渝,93.12
000581,威孚高科,92.93
300973,立高食品,92.35
605599,菜百股份,91.7
000088,盐 田 港,91.07
301050,雷电微力,91.0
301061,匠心家居,90.37
000736,中交发展,89.74
603565,中谷物流,89.54
301023,奕帆传动,89.5
603323,苏农银行,89.05
300787,海能实业,88.77
002303,美盈森,88.14
