股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600230,nan,18.2,16.8,2.86,1.67,456892028.0,2.02,7.5,12.69,1.0,0,,47.27
sh.600096,nan,14.66,13.81,2.34,1.43,359158971.0,1.78,6.7,7.79,1.0,0,,41.5
sh.600352,nan,13.55,12.48,3.21,2.08,1407623395.0,1.47,4.63,4.47,1.0,0,,35.43
sh.600872,nan,19.7,18.65,2.56,1.79,386500852.0,1.2,4.56,11.55,1.0,0,,34.96
sh.600547,nan,22.7,21.09,0.98,0.77,270312249.0,0.94,4.32,19.29,1.0,0,,33.61
sh.600529,nan,19.67,18.74,2.43,1.9,317810262.0,1.21,4.63,7.14,1.0,0,,33.45
sh.600054,nan,15.91,15.01,1.51,1.29,367289782.0,1.07,4.4,13.0,1.0,0,,33.19
sh.600282,nan,6.16,5.81,0.94,0.69,275809574.0,1.25,2.84,14.93,1.0,0,,33.03
sh.603013,nan,23.13,22.17,2.02,1.37,262651828.0,1.06,3.17,15.82,1.0,0,,32.93
sh.600285,nan,23.13,22.17,2.02,1.37,262651828.0,1.06,3.17,15.82,1.0,0,,32.93
sh.600887,nan,27.31,25.91,1.59,1.25,2735911271.0,1.3,-0.26,12.34,0.997,0,,29.42
sh.600012,nan,18.34,17.42,1.02,0.74,219952994.0,1.45,1.05,15.35,0.961,0,,29.13
sh.600803,nan,19.23,18.25,1.97,1.95,343357577.0,1.06,2.67,4.62,1.0,0,,28.39
sh.601600,nan,12.2,11.7,1.33,1.17,289043830.0,1.02,1.75,10.61,1.0,0,,28.24
sh.600060,nan,27.69,27.16,1.37,1.03,499116763.0,1.41,1.73,2.25,0.992,0,,27.85
sh.600216,nan,12.31,11.66,1.79,1.67,246720182.0,0.99,2.07,7.6,1.0,0,,27.79
sh.600585,nan,18.34,17.45,0.85,0.68,618755752.0,1.06,2.75,6.32,1.0,0,,27.53
sh.603599,nan,10.4,10.02,2.37,1.57,222172307.0,1.49,-0.95,6.56,0.974,0,,27.28
sh.600598,nan,27.33,25.43,1.69,1.94,1647029898.0,0.79,-0.26,17.8,0.997,0,,27.22
sh.603707,nan,7.88,7.77,0.99,0.69,350011694.0,1.31,1.81,2.6,0.996,0,,27.02
sh.600038,nan,15.95,15.07,1.48,1.34,352774794.0,0.74,-0.31,17.28,0.993,0,,25.45
sh.600196,nan,15.95,15.07,1.48,1.34,352774794.0,0.74,-0.31,17.28,0.993,0,,25.45
sh.600023,nan,8.86,8.44,1.28,1.37,222550810.0,0.88,1.84,6.88,0.997,0,,25.35
sh.600867,nan,8.43,8.2,1.86,1.65,305755591.0,1.03,2.8,1.57,0.98,0,,24.7
sh.600188,nan,9.52,8.81,1.7,2.16,2133518915.0,0.7,0.95,16.1,0.973,0,,24.65
sh.600452,nan,15.45,15.04,1.36,1.02,622823469.0,1.19,-2.65,7.14,0.968,0,,23.03
sh.600583,nan,24.84,24.37,1.01,1.09,536415584.0,0.98,1.06,0.08,0.976,0,,20.18
sh.601069,nan,24.06,23.76,2.65,2.8,557057903.0,0.97,0.42,7.8,0.929,0,,19.93
sh.603993,nan,9.88,9.45,2.42,2.56,363289344.0,0.71,-2.76,5.33,0.972,0,,19.8
sh.600085,nan,25.88,24.85,0.83,0.68,297229337.0,0.66,-0.42,11.31,0.961,0,,18.18
