板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
消费,4,16,0,13,40,4.9,12.9,+9.9
电力,2,6,0,5,5,4.3,8.3,+6.7
储能,1,6,0,0,4,6.0,8.0,NEW
机器人,1,10,0,6,20,5.0,7.0,+5.0
光伏,1,10,0,6,20,5.0,7.0,NEW
传媒,1,6,0,1,8,4.1,6.1,NEW
医药,2,6,0,7,16,0.7000000000000001,4.7,+7.6
综合,2,10,0,22,23,-0.40000000000000036,3.5999999999999996,NEW
环保,1,3,0,1,6,1.5,3.5,NEW
教育,1,3,0,1,6,1.5,3.5,+11.4
农业,1,1,1,2,1,0.0,2.0,+0.4
汽车,1,3,0,6,9,-0.6,1.4,NEW
交通运输,1,3,0,6,9,-0.6,1.4,NEW
化学原料,1,3,0,6,9,-0.6,1.4,NEW
金融,1,3,0,6,9,-0.6,1.4,NEW
军工,1,0,0,3,0,-0.9,1.1,-1.9
石油石化,1,0,0,5,1,-1.7,0.30000000000000004,NEW
人工智能,1,0,1,2,12,-4.0,-2.0,-3.6
