股票代码,股票名称,综合分
603333,福华尚纬,91.16
300203,聚光科技,88.47
002014,永新股份,88.35
603828,*ST利达,88.28
002040,南 京 港,88.22
600573,惠泉啤酒,87.21
601022,宁波远洋,86.72
002884,凌霄泵业,86.62
600208,衢州发展,86.45
001313,粤海饲料,86.45
600283,钱江水利,84.98
000025,特  力Ａ,84.55
000409,云鼎科技,84.43
688192,迪哲医药,84.27
603418,友升股份,84.17
603008,ST喜临门,83.98
600023,浙能电力,83.93
601326,秦港股份,83.86
000972,中基健康,83.44
002191,劲嘉股份,83.3
000881,中广核技,83.15
301185,鸥玛软件,82.88
600516,方大炭素,82.59
601518,吉林高速,82.1
600798,宁波海运,82.08
603885,吉祥航空,81.9
601009,南京银行,81.86
605008,长鸿高科,81.73
002571,德力股份,81.71
603223,恒通股份,81.66
000795,英洛华,81.51
600007,中国国贸,81.35
002461,珠江啤酒,81.27
002005,德豪润达,81.14
600153,建发股份,81.14
301656,联合动力,81.11
603310,巍华新材,81.1
000521,长虹美菱,80.84
600279,重庆港,80.8
601686,友发集团,80.76
