股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.601225,nan,13.09,12.2,3.06,2.0,244562079.0,2.52,8.9,9.64,0.995,0,,51.38
sh.601928,nan,8.78,8.18,3.01,3.32,205417957.0,1.44,8.09,10.63,0.969,1,传媒,49.88
sh.600461,nan,14.25,13.16,1.12,0.8,1232818972.0,2.2,7.5,12.93,1.0,0,,47.72
sh.601985,nan,7.88,7.67,0.87,0.61,306498225.0,1.67,3.55,7.21,1.0,1,电力,44.92
sh.600508,nan,15.31,14.17,1.45,1.15,1115543704.0,1.93,7.63,10.34,1.0,0,,44.61
sh.600587,nan,18.8,18.44,2.85,2.04,361019448.0,1.93,3.52,1.35,0.99,0,,36.23
sh.603808,nan,27.99,26.64,0.99,0.71,6802221692.0,1.72,2.73,8.01,1.0,0,,34.86
sh.600597,nan,26.11,24.89,1.07,1.01,1760922559.0,1.22,4.94,7.63,1.0,0,,32.79
sh.600674,nan,22.4,21.05,2.91,2.94,375588595.0,1.31,3.13,11.33,0.972,0,,32.65
sh.600285,nan,16.15,15.67,5.01,4.5,1251641605.0,1.16,-4.1,12.54,0.916,0,,24.39
sh.600256,nan,5.27,5.1,1.65,1.9,566529234.0,0.91,1.89,2.88,0.96,0,,21.06
sh.601728,nan,18.65,18.23,0.95,0.91,1502848076.0,0.85,-0.17,2.5,0.969,0,,17.63
sh.601101,nan,24.83,24.83,0.81,0.87,271742740.0,0.83,-4.45,3.0,0.922,0,,12.84
