板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
物流,4,11,0,18,26,1.199999999999999,9.2,+7.8
消费,3,7,0,4,17,3.1999999999999993,9.2,+6.2
通信,1,6,0,0,5,5.8,7.8,NEW
新能源车,1,6,0,0,5,5.8,7.8,NEW
电力,1,0,0,0,4,-0.8,1.2,-0.4
医药,1,5,0,14,12,-1.6,0.3999999999999999,+3.3
电商,1,5,0,14,12,-1.6,0.3999999999999999,-1.0
教育,2,5,0,18,17,-3.8000000000000003,0.19999999999999973,+8.1
工程机械,1,0,0,3,6,-2.1,-0.10000000000000009,NEW
农业,1,0,0,3,6,-2.1,-0.10000000000000009,-1.7
人工智能,1,0,0,4,5,-2.2,-0.20000000000000018,-1.8
食品,1,0,0,4,5,-2.2,-0.20000000000000018,-5.1
