板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
人工智能,3,20,0,12,31,12.600000000000001,18.6,+17.0
物流,4,16,0,15,33,7.3,15.3,+13.9
军工,2,14,0,12,23,8.200000000000001,12.200000000000001,+9.2
有色金属,1,9,0,1,7,8.9,10.9,NEW
航空机场,1,11,0,8,15,6.4,8.4,NEW
半导体,1,11,0,8,15,6.4,8.4,NEW
汽车,2,11,0,10,24,4.0,8.0,NEW
机器人,2,11,0,10,24,4.0,8.0,+6.0
一带一路,2,11,0,10,24,4.0,8.0,NEW
电力,1,3,0,4,8,1.8,3.8,+2.2
交通运输,1,3,0,4,8,1.8,3.8,NEW
综合,1,3,0,4,3,1.2,3.2,NEW
农业,1,3,0,4,3,1.2,3.2,+1.6
金融,1,0,0,1,2,-0.7,1.3,NEW
通信,1,0,0,1,2,-0.7,1.3,NEW
院线,1,0,0,1,2,-0.7,1.3,NEW
教育,1,1,0,2,7,-1.0,1.0,+8.9
钢铁,1,0,0,2,9,-2.4,-0.3999999999999999,NEW
消费,1,0,0,2,9,-2.4,-0.3999999999999999,-3.4
建筑建材,1,0,0,2,9,-2.4,-0.3999999999999999,NEW
