股票代码,股票名称,建议买入价,动量分,20日收益%,60日收益%,MA20斜率%,距20日高点%
000048,京基智农,24.1,41.73,22.9,63.06,45.52,0.0
002317,众生药业,29.54,38.08,29.79,62.4,8.14,0.0
603155,新亚强,28.28,34.03,12.58,69.04,27.61,-8.74
002828,贝肯能源,13.48,31.65,50.11,16.01,6.01,0.0
300786,国林科技,23.9,29.97,17.39,58.07,18.66,-8.81
300105,龙源技术,8.18,26.21,23.56,28.32,10.97,-1.33
002346,柘中股份,21.81,21.26,40.26,15.89,1.32,-9.58
000810,创维数字,12.84,18.35,28.79,0.71,5.4,-6.62
603110,东方材料,23.19,17.82,10.27,26.44,2.58,-13.66
300244,迪安诊断,20.46,14.46,24.21,5.84,10.06,-3.85
