code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
603618,2026-05-18,2026-05-19,36.426,38.671,100,6.16,take_partial
603596,2026-05-18,2026-05-19,31.531,31.199,300,-1.06,trend_break
002315,2026-05-18,2026-05-19,30.05,30.879,300,2.76,trend_break
603618,2026-05-18,2026-05-19,36.426,38.671,300,6.16,take_pct
601288,2026-05-18,2026-05-19,6.657,6.613,3000,-0.65,trend_break
601898,2026-05-18,2026-05-22,16.587,15.345,600,-7.49,trend_break
600330,2026-05-18,2026-05-25,29.029,31.279,100,7.75,take_partial
600330,2026-05-18,2026-05-25,29.029,31.279,200,7.75,take_pct
605222,2026-05-18,2026-05-26,37.818,32.113,400,-15.09,stop_hard
002458,2026-05-18,2026-06-01,8.969,8.252,1300,-8.0,max_hold
