股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600867,nan,8.59,8.26,3.05,2.18,506169504.0,2.04,5.92,0.12,1.0,0,,41.04
sh.603883,nan,13.44,12.65,3.46,3.47,354885132.0,1.52,8.47,7.52,0.959,0,,38.73
sh.600196,nan,24.43,23.34,1.73,2.0,894231164.0,1.25,7.34,0.6,1.0,0,,34.49
sh.600711,nan,11.85,10.95,4.88,5.67,1820150275.0,1.07,3.95,19.1,0.93,0,,33.57
sh.603939,nan,24.03,22.54,1.33,1.6,388064581.0,1.02,6.94,12.13,0.975,0,,33.27
sh.600004,nan,11.85,11.19,2.56,2.67,755745788.0,0.98,-1.25,17.28,0.983,0,,28.54
sh.600559,nan,12.31,12.03,2.26,1.88,254730264.0,1.32,2.24,2.67,0.981,0,,27.8
sh.603317,nan,19.15,19.15,1.59,1.55,201924420.0,0.92,-0.83,0.84,0.955,1,食品,27.12
sh.600063,nan,5.98,5.76,2.88,2.87,360956733.0,1.1,0.67,8.14,0.976,0,,26.52
sh.601107,nan,5.78,5.55,1.48,1.91,548608581.0,0.79,3.4,8.04,0.981,0,,25.87
sh.603599,nan,21.5,20.55,1.07,1.11,1390763524.0,1.06,1.08,12.05,0.973,0,,25.54
sh.600598,nan,29.5,27.86,2.44,2.59,2663348560.0,1.03,-1.54,19.14,0.937,0,,25.06
sh.603456,nan,12.05,12.05,1.41,1.16,299957644.0,1.25,-1.23,5.42,0.969,0,,23.2
sh.601600,nan,21.01,20.72,1.81,1.67,1943393037.0,0.87,-0.8,11.28,0.971,0,,22.59
sh.601069,nan,27.54,25.38,3.25,4.19,815224505.0,0.84,-3.71,18.86,0.91,0,,22.22
sh.601101,nan,12.57,11.68,2.61,4.32,472921344.0,0.81,-1.18,13.76,0.931,0,,21.89
sh.601918,nan,9.97,9.77,1.42,1.64,365329385.0,0.81,2.78,3.52,0.966,0,,21.7
sh.600690,nan,17.13,16.42,0.94,1.23,1295598987.0,0.7,-4.19,20.97,0.942,0,,21.13
sh.600012,nan,16.44,16.44,2.52,2.23,521963079.0,1.21,-2.89,2.43,0.944,0,,20.54
sh.603659,nan,24.12,23.77,0.92,1.11,479258891.0,0.75,0.5,7.44,0.98,0,,20.52
sh.600801,nan,22.8,21.98,0.87,1.09,269444127.0,0.67,-0.91,20.25,0.935,0,,19.68
sh.601699,nan,15.97,15.45,0.88,1.37,423080996.0,0.7,-1.66,6.75,0.98,0,,19.36
sh.600699,nan,8.3,8.3,1.73,1.73,446822856.0,1.1,-4.49,0.97,0.955,0,,19.19
sh.603305,nan,20.95,20.58,1.86,1.69,552369717.0,0.96,-1.55,0.0,0.969,0,,18.81
sh.601200,nan,28.8,28.8,1.56,1.65,829125950.0,0.99,-4.06,4.27,0.948,0,,18.58
sh.600352,nan,13.17,13.13,1.82,2.42,795628071.0,0.83,0.53,6.04,0.941,0,,18.51
sh.601038,nan,9.43,9.43,2.02,1.76,293375031.0,1.12,-2.88,4.08,0.928,0,,18.07
sh.603393,nan,24.4,24.4,2.39,2.92,246855899.0,1.01,-5.43,2.26,0.922,0,,16.92
sh.603013,nan,16.75,16.34,0.87,1.37,560511463.0,0.55,-4.07,15.04,0.937,0,,16.88
sh.600741,nan,16.75,16.34,0.87,1.37,560511463.0,0.55,-4.07,15.04,0.937,0,,16.88
