股票代码,股票名称,综合分
603218,日月股份,77.48
002666,德联集团,77.27
002862,实丰文化,75.45
600020,中原高速,75.21
002766,索菱股份,75.0
003039,顺控发展,74.9
001391,国货航,74.51
300795,米奥会展,74.4
000570,苏常柴Ａ,74.3
300427,红相股份,74.17
300032,金龙机电,74.15
600320,振华重工,74.14
688107,安路科技,73.88
600528,中铁工业,73.76
000156,华数传媒,73.76
300308,中际旭创,73.59
600455,博通股份,73.43
688082,盛美上海,73.42
688498,源杰科技,73.2
600287,苏豪时尚,73.19
601000,唐山港,73.13
002953,日丰股份,73.02
600616,金枫酒业,72.98
600919,江苏银行,72.83
001386,马可波罗,72.78
601288,农业银行,72.73
000589,贵州轮胎,72.67
002817,黄山胶囊,72.65
601789,宁波建工,72.61
601866,中远海发,72.57
605365,立达信,72.51
002702,海欣食品,72.49
688512,慧智微,72.42
000550,江铃汽车,72.41
603332,苏州龙杰,72.34
600526,菲达环保,72.31
603301,振德医疗,72.29
002692,远程股份,72.23
600620,天宸股份,72.21
600232,金鹰股份,72.11
