code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
601179,2026-01-19,2026-01-20,12.933,15.564,200,20.35,take_partial
002532,2026-01-19,2026-01-20,17.147,18.222,100,6.27,take_partial
603216,2026-01-19,2026-01-20,50.581,52.967,100,4.72,take_partial
601179,2026-01-19,2026-01-20,12.933,15.564,600,20.35,take_pct
002532,2026-01-19,2026-01-20,17.147,18.222,500,6.27,take_pct
000960,2026-01-19,2026-01-21,37.628,40.549,100,7.77,take_partial
000426,2026-01-19,2026-01-21,51.692,53.996,100,4.46,take_partial
000960,2026-01-19,2026-01-21,37.628,40.549,100,7.77,take_pct
603216,2026-01-19,2026-01-21,50.581,57.023,100,12.74,take_partial_final
603598,2026-01-19,2026-01-23,25.546,26.743,100,4.69,take_partial
000426,2026-01-19,2026-01-23,51.692,57.662,300,11.55,take_partial_final
603598,2026-01-19,2026-01-29,25.546,26.673,300,4.41,take_partial_final
600105,2026-01-19,2026-02-02,27.017,25.914,300,-4.08,max_hold
002788,2026-01-19,2026-02-02,17.117,15.065,700,-11.99,max_hold
