股票代码,股票名称,综合分
300190,维尔利,77.02
688370,丛麟科技,76.96
002050,三花智控,76.87
600376,首开股份,76.64
300408,三环集团,76.54
603790,雅运股份,76.34
300528,幸福蓝海,76.29
600782,新钢股份,76.26
300654,世纪天鸿,76.21
600815,厦工股份,76.11
002007,华兰生物,76.1
601019,山东出版,76.03
002024,ST易购,75.94
600007,中国国贸,75.92
002019,亿帆医药,75.82
603211,晋拓股份,75.82
600619,海立股份,75.56
688663,新风光,75.55
002011,盾安环境,75.3
600731,湖南海利,74.85
600704,物产中大,74.78
603167,渤海轮渡,74.7
301168,通灵股份,74.62
603007,顺景科技,74.57
000538,云南白药,74.56
301221,光庭信息,74.51
300493,润欣科技,74.46
300569,天能重工,74.36
603665,康隆达,74.26
301358,湖南裕能,74.23
002620,*ST瑞和,74.23
300386,飞天诚信,74.16
002996,顺博合金,74.09
600927,永安期货,73.93
688517,金冠电气,73.86
000932,华菱钢铁,73.73
002895,川恒股份,73.68
600029,南方航空,73.55
603758,秦安股份,73.46
002652,扬子新材,73.33
