股票代码,股票名称,命中策略数,来源策略,综合评分,权重,建议买入价,建议仓位%,建议金额,最新价,止损价(下轨),止盈价(上轨),MA20,stop_pct,因子分
600900,长江电力,1,Vol20,63.2,13.8,26.29,5.0,5258.0,26.29,25.492858423138845,27.217141576861156,26.355,0.04,10.3
601169,北京银行,1,Vol20,62.8,13.8,4.752000000000001,5.0,5227.0,4.752000000000001,4.62512706298672,4.9768729370132805,4.801,0.04,9.0
000651,格力电器,1,Vol20,61.7,13.8,36.49,5.0,7298.0,36.49,34.96574468192637,36.75925531807363,35.8625,0.04,14.5
600036,招商银行,1,Vol20,60.4,13.8,35.85,5.0,7170.0,35.85,34.623326950151196,38.4556730498488,36.5395,0.04,8.2
600519,贵州茅台,1,Vol20,59.6,13.8,1194.45,5.0,119445.0,1194.45,1166.8780724295634,1257.0109275704367,1211.9445,0.04,7.8
601985,中国核电,1,Vol20,57.8,13.8,8.7,4.9,5220.0,8.7,8.643010637082849,9.112989362917151,8.878,0.04,7.1
600887,伊利股份,1,Vol20,57.6,13.8,24.6,4.9,4920.0,24.6,23.92056565076985,25.72643434923015,24.8235,0.04,6.6
002223,鱼跃医疗,2,PVCorr60/Skew60,57.0,8.7,26.19,4.8,5238.0,26.19,24.44742512619436,26.04057487380564,25.244,0.0455,9.8
601818,光大银行,1,Vol20,56.9,13.8,2.91,4.8,4947.0,2.91,2.8396656029942426,3.1713343970057575,3.0055,0.04,5.2
600050,中国联通,1,Vol20,56.7,13.8,4.07,4.8,4884.0,4.07,3.999146835854093,4.393633164145905,4.196389999999999,0.04,5.9
000581,威孚高科,2,PVCorr60/Skew60,50.7,8.7,17.26,4.1,5178.0,17.26,16.191458868097165,17.71254113190284,16.952,0.049,3.5
603766,隆鑫通用,2,PVCorr20/PVCorr60,50.1,8.7,12.86,4.0,5144.0,12.86,11.216632645037286,13.04236735496271,12.129499999999998,0.0785,8.6
600901,江苏金租,2,PVCorr20/PVCorr60,37.3,8.7,6.14,2.7,3070.0,6.14,5.780795679647965,6.569204320352035,6.175,0.0612,4.1
300363,博腾股份,1,Skew60,30.2,4.2,16.9,2.0,3380.0,16.9,12.821013517462987,17.207986482537017,15.014500000000002,0.0912,15.0
600598,北大荒,4,PVCorr20/PVCorr60/Skew20/Skew60,29.2,8.7,11.35,2.0,2270.0,11.35,10.257473677547555,15.244526322452444,12.751,0.0873,-15.0
688662,富信科技,1,DistLo10,27.0,0.0,134.5,1.8,13450.0,134.5,69.05955988639485,198.332593959759,133.69607692307693,0.12,15.0
002371,北方华创,1,Skew20,26.9,0.0,816.0,1.8,81600.0,816.0,567.9616856169321,902.752514383068,735.3571000000001,0.0969,15.0
600186,莲花控股,1,DistLo10,26.8,0.0,11.82,1.8,2364.0,11.82,10.511188912592493,15.446811087407506,12.979,0.12,15.0
300576,容大感光,1,DistLo10,26.7,0.0,45.86,1.7,4586.0,45.86,39.8887958226424,55.9482950864485,47.91854545454545,0.12,15.0
688478,晶升股份,1,DistLo10,26.5,0.0,72.0,1.7,7200.0,72.0,52.80052257953504,94.63747742046495,73.719,0.12,15.0
603738,泰晶科技,1,DistLo10,26.4,0.0,53.51,1.7,5351.0,53.51,43.45400995267875,68.42299004732125,55.9385,0.12,15.0
