股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,异动催化数,异动催化词,异动催化分,综合分
sh.603402,陕西旅游,12.5,12.09,2.39,1.54,264576324.0,1.22,-3.1,4.17,0.969,1,消费,0,,0.0,33.1
sh.605577,龙版传媒,13.36,13.12,3.44,5.18,445126722.0,0.81,0.23,3.65,0.939,1,传媒,0,,0.0,30.07
