序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
1,301230,泓博医药,56.64,77.61%,66.22%,1.42亿
2,300063,天龙集团,15.62,76.30%,151.93%,1.24亿
3,301079,邵阳液压,60.7,76.25%,207.05%,-3.98亿
4,301171,易点天下,70.01,69.31%,139.81%,-17.81亿
5,300244,迪安诊断,29.16,65.96%,75.62%,-25.29亿
6,688365,光云科技,28.5,62.86%,49.49%,3.29亿
7,2931,锋龙股份,61.79,61.08%,2.33%,-2.44亿
8,600783,鲁信创投,39.44,61.05%,23.61%,-5.52亿
9,688375,国博电子,158.93,59.73%,12.43%,9.35亿
10,300785,值得买,69.91,57.60%,145.20%,4.08亿
11,301378,通达海,45.49,56.75%,69.18%,-2.80亿
12,603778,国晟科技,25.2,54.41%,58.94%,1020.70万
13,600637,东方明珠,15.39,53.75%,35.60%,-17.12亿
14,688031,星环科技,193.18,52.93%,75.26%,2.13亿
15,300342,天银机电,53.05,52.93%,132.99%,4.85亿
16,300058,蓝色光标,20.85,52.64%,166.12%,-3.16亿
17,300253,卫宁健康,13.98,52.62%,82.72%,18.70亿
18,603598,引力传媒,31.37,52.58%,57.89%,-9.33亿
19,688387,信科移动,19.3,52.45%,46.75%,-6.86亿
20,688710,益诺思,69.48,50.75%,26.38%,6832.96万
21,600477,杭萧钢构,4.36,50.34%,26.64%,-19.92亿
22,688258,卓易信息,149.2,49.04%,42.09%,-7825.44万
23,603488,展鹏科技,11.74,48.42%,84.80%,-7749.69万
24,2969,嘉美包装,17.55,48.10%,67.87%,-15.17亿
25,300816,艾可蓝,69.0,48.07%,39.98%,-3.55亿
26,601106,中国一重,6.0,47.78%,30.03%,-22.99亿
27,2792,通宇通讯,69.97,47.74%,143.91%,-3.91亿
28,300246,宝莱特,13.09,46.58%,67.83%,-2003.27万
29,3007,直真科技,54.34,46.55%,56.13%,-5.14亿
30,688119,中钢洛耐,7.85,46.46%,43.43%,3658.74万
31,300129,泰胜风能,16.75,46.42%,140.10%,3163.80万
32,300044,ST赛为,5.9,45.32%,66.66%,2.19亿
33,688759,必贝特,49.89,44.61%,125.64%,-4994.39万
34,300141,和顺电气,19.02,43.98%,116.12%,-3.88亿
35,300364,中文在线,37.02,43.77%,102.33%,20.08亿
36,300170,汉得信息,29.55,43.45%,130.74%,12.84亿
37,2718,友邦吊顶,62.33,43.35%,93.41%,-1.60亿
38,2342,巨力索具,13.29,43.21%,79.16%,-11.84亿
39,300379,东通退,1.91,42.54%,48.29%,0.00万
40,688679,通源环境,36.0,42.29%,28.96%,6079.18万
41,300291,百纳千成,10.0,42.25%,96.14%,-4387.00万
42,301556,托普云农,143.01,41.64%,115.86%,2.80亿
43,2202,金风科技,33.95,41.46%,93.10%,-46.20亿
44,300624,万兴科技,105.11,41.37%,89.16%,18.23亿
45,593,德龙汇能,15.83,40.59%,42.21%,-2.11亿
46,688282,理工导航,85.15,40.51%,26.02%,1.48亿
47,688222,成都先导,37.5,40.03%,51.99%,2.29亿
48,301213,观想科技,96.54,39.81%,82.83%,-891.38万
49,300442,润泽科技,80.56,39.79%,30.95%,18.40亿
50,300418,昆仑万维,62.73,39.74%,67.72%,49.53亿
51,2195,岩山科技,11.99,39.74%,124.58%,45.01亿
52,688331,荣昌生物,114.46,39.42%,36.22%,2.14亿
53,300102,乾照光电,35.92,39.06%,120.91%,23.17亿
54,300792,壹网壹创,41.08,38.83%,66.89%,1.36亿
55,300987,川网传媒,23.9,38.31%,54.40%,3664.79万
56,2865,钧达股份,80.09,38.16%,114.98%,1.50亿
57,301231,荣信文化,44.55,37.58%,141.19%,2.39亿
58,688270,臻镭科技,188.06,37.34%,72.32%,10.80亿
59,600986,浙文互联,11.26,37.15%,55.83%,-9.29亿
60,301110,青木科技,93.1,37.05%,70.16%,4.53亿
61,2639,雪人集团,27.31,36.82%,206.07%,-5.85亿
62,301159,三维天地,51.49,36.43%,77.95%,-2.33亿
63,2115,三维通信,17.81,36.37%,84.44%,-3.10亿
64,600828,茂业商业,8.04,36.27%,27.28%,-1.47亿
65,2131,利欧股份,9.03,36.20%,72.04%,-18.38亿
66,688568,中科星图,84.25,35.97%,30.50%,10.83亿
67,688053,ST思科瑞,51.08,35.92%,32.53%,-746.18万
68,2400,省广集团,12.55,35.82%,92.71%,-20.25亿
69,600676,交运股份,8.22,35.42%,9.50%,-7869.18万
70,688625,呈和科技,62.32,35.36%,24.11%,1.30亿
71,2044,美年健康,7.41,35.22%,18.53%,-10.18亿
72,2173,创新医疗,35.11,34.88%,130.66%,-6.52亿
73,688246,嘉和美康,32.64,34.60%,57.11%,2739.31万
74,300578,会畅科技,27.79,34.25%,97.84%,1.19亿
75,603057,紫燕食品,28.0,34.16%,19.61%,1.68亿
76,688787,海天瑞声,165.02,34.15%,47.82%,3.00亿
77,688118,普元信息,35.32,33.84%,52.15%,1.48亿
78,301257,普蕊斯,72.24,33.78%,13.71%,4730.23万
79,301117,佳缘科技,70.4,33.08%,145.81%,5.74亿
80,2519,银河电子,10.42,32.91%,72.03%,-6.41亿
81,688393,安必平,34.08,32.81%,61.41%,6923.86万
82,603171,税友股份,82.0,32.58%,12.41%,264.37万
83,969,安泰科技,28.29,32.51%,62.94%,-4.59亿
84,300315,掌趣科技,6.86,32.43%,61.33%,7.81亿
85,600776,东方通信,24.63,32.42%,47.07%,-18.22亿
86,300229,拓尔思,26.8,32.28%,66.72%,17.65亿
87,300078,思创医惠,5.68,32.09%,59.92%,-7255.43万
88,300781,因赛集团,47.68,31.97%,97.29%,4.15亿
89,688066,航天宏图,42.56,31.89%,96.71%,4.66亿
90,603015,弘讯科技,16.94,31.83%,47.51%,-2386.43万
91,688680,海优新材,52.15,31.59%,40.59%,1.27亿
92,688277,天智航,22.03,30.90%,25.60%,3.38亿
93,688281,华秦科技,98.03,30.88%,11.98%,1.34亿
94,601116,三江购物,18.98,30.81%,35.93%,3787.57万
95,603888,新华网,26.91,30.38%,23.34%,-9.14亿
96,300711,广哈通信,30.69,30.32%,39.66%,3198.40万
97,600877,电科芯片,22.54,30.29%,34.08%,-6.92亿
98,300378,鼎捷数智,63.03,30.12%,80.36%,9.51亿
99,688615,合合信息,320.28,29.87%,32.59%,12.85亿
100,300830,金现代,13.66,29.85%,101.97%,5.44亿
101,301408,华人健康,24.8,29.64%,183.34%,-2.50亿
102,688607,康众医疗,56.0,29.63%,54.10%,1.65亿
103,301060,兰卫医学,13.28,29.31%,25.69%,-6076.30万
104,688636,智明达,55.8,29.17%,56.36%,2831.41万
105,600475,华光环能,24.55,29.07%,23.11%,1.44亿
106,301093,华兰股份,62.63,28.87%,24.64%,1.72亿
107,688548,广钢气体,19.46,28.87%,32.99%,1031.85万
108,601179,中国西电,12.4,28.76%,40.59%,-6.85亿
109,688776,国光电气,130.2,28.75%,39.69%,2.69亿
110,300629,新劲刚,29.9,28.44%,121.05%,2.76亿
111,1400,江顺科技,109.53,28.35%,150.34%,7134.46万
112,601611,中国核建,17.95,28.31%,35.86%,-9.45亿
113,300553,集智股份,50.59,28.21%,73.87%,-5525.47万
114,603496,恒为科技,35.92,28.19%,59.21%,3.81亿
115,603000,人民网,25.48,28.04%,12.51%,-10.33亿
116,691,*ST亚太,9.92,27.67%,3.86%,-1.01亿
117,681,视觉中国,31.48,27.40%,65.08%,-17.93亿
118,688796,百奥赛图,69.81,27.39%,69.35%,1680.75万
119,688418,震有科技,57.87,27.35%,77.20%,-1.35亿
120,301017,漱玉平民,19.43,27.16%,73.21%,3234.30万
121,300435,中泰股份,29.68,27.11%,58.63%,1.85亿
122,300447,全信股份,22.87,27.06%,103.98%,1.99亿
123,2465,海格通信,24.2,26.97%,94.68%,-27.69亿
124,300404,博济医药,12.92,26.79%,51.61%,-1.30亿
125,300149,睿智医药,12.69,26.39%,51.30%,3.26亿
126,300065,海兰信,24.12,26.28%,133.26%,-7107.76万
127,688232,新点软件,32.12,26.21%,17.03%,7281.97万
128,300454,深信服,151.56,25.99%,27.99%,15.93亿
129,301102,兆讯传媒,13.5,25.93%,17.20%,1.46亿
130,688777,中控技术,63.27,25.74%,26.62%,12.74亿
131,2541,鸿路钢构,21.29,25.68%,26.24%,3012.52万
132,600498,烽火通信,44.32,25.62%,80.36%,-12.46亿
133,688038,中科通达,22.79,25.50%,32.63%,-504.65万
134,300444,双杰电气,12.65,25.50%,84.36%,-3.08亿
135,600588,用友网络,17.28,25.40%,23.84%,3.05亿
136,301256,华融化学,18.08,25.29%,54.66%,-1.55亿
137,300071,福石控股,8.33,25.26%,127.55%,3151.70万
138,301111,粤万年青,24.97,25.04%,54.10%,6510.25万
139,300766,每日互动,43.85,25.00%,107.81%,14.35亿
140,301306,西测测试,165.0,24.96%,119.74%,1.97亿
141,300267,尔康制药,4.45,24.65%,38.53%,-8993.40万
142,605288,凯迪股份,109.27,24.57%,14.85%,-3359.46万
143,601992,金隅集团,2.13,24.56%,10.07%,-1.83亿
144,603918,金桥信息,20.15,24.46%,68.37%,6.05亿
145,688095,福昕软件,122.3,24.39%,29.53%,1.54亿
146,301137,哈焊华通,61.79,24.28%,75.37%,-1.36亿
147,603305,旭升集团,21.01,24.25%,52.90%,-3.73亿
148,301333,诺思格,76.48,24.24%,26.74%,-6476.74万
149,600094,大名城,5.25,24.11%,19.65%,-2.11亿
150,600673,东阳光,30.28,24.05%,17.71%,10.98亿
151,300118,东方日升,18.07,24.02%,126.73%,4.83亿
152,600880,博瑞传播,6.98,23.98%,66.80%,-3.98亿
153,503,国新健康,11.33,23.96%,32.13%,-6712.36万
154,301270,汉仪股份,46.97,23.93%,74.49%,2.94亿
155,600589,大位科技,9.89,23.93%,142.84%,10.24亿
156,601929,吉视传媒,4.52,23.84%,71.07%,2.72亿
157,300349,金卡智能,19.28,23.83%,48.46%,7786.08万
158,301077,星华新材,33.05,23.78%,53.46%,1.68亿
159,301005,超捷股份,204.99,23.64%,71.38%,2.67亿
160,600259,中稀有色,71.9,23.52%,43.57%,5.10亿
161,2112,三变科技,17.48,23.45%,128.42%,-2.84亿
162,3041,真爱美家,70.44,23.25%,29.83%,-1.70亿
163,688809,强一股份,361.0,23.21%,146.99%,-4.12亿
164,688590,新致软件,23.73,23.21%,39.36%,1.26亿
165,603696,安记食品,25.5,23.19%,98.13%,-4475.95万
166,2082,万邦德,17.28,23.16%,22.02%,5670.29万
167,688358,祥生医疗,39.55,23.13%,17.69%,4944.87万
168,605116,奥锐特,31.53,23.07%,12.88%,-3108.79万
169,301148,嘉戎技术,58.91,23.04%,58.58%,-6224.87万
170,301248,杰创智能,41.87,23.04%,70.58%,7492.61万
171,688221,前沿生物,27.55,22.99%,37.05%,1.07亿
172,688225,亚信安全,24.01,22.75%,16.72%,2581.87万
173,603090,宏盛股份,69.9,22.72%,35.59%,-753.88万
174,601872,招商轮船,11.21,22.65%,8.86%,2.54亿
175,300612,宣亚国际,22.27,22.30%,143.92%,6130.13万
176,1331,胜通能源,62.28,22.26%,67.64%,-2.45亿
177,600633,浙数文化,16.17,22.22%,25.58%,1.10亿
178,2250,联化科技,17.06,22.21%,47.35%,3.20亿
179,688122,西部超导,95.57,22.20%,41.52%,2.70亿
180,301120,新特电气,21.91,22.13%,93.97%,1.29亿
181,2796,世嘉科技,34.58,22.06%,76.27%,-9934.86万
