板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
汽车,2,7,0,2,13,4.6,8.6,NEW
专用设备,1,5,0,1,6,3.5,5.5,NEW
机器人,1,5,0,1,6,3.5,5.5,+3.5
通用设备,1,5,0,1,6,3.5,5.5,NEW
新能源车,1,5,0,1,6,3.5,5.5,NEW
电子,1,5,0,1,6,3.5,5.5,+8.4
医药,1,5,0,1,6,3.5,5.5,+8.4
一带一路,3,5,0,9,22,-1.2999999999999998,4.7,NEW
人工智能,5,9,1,28,47,-6.6,3.4000000000000004,+1.8
教育,2,6,0,14,20,-0.6000000000000001,3.4,+11.3
综合,1,3,0,6,7,1.4,3.4,NEW
基建市政工程,1,3,0,6,7,1.4,3.4,+1.8
食品,1,3,0,6,7,1.4,3.4,-1.5
光伏,1,3,0,6,7,1.4,3.4,NEW
农业,2,5,0,9,20,-0.8999999999999999,3.1,+1.5
通信,1,1,0,0,1,0.8,2.8,NEW
军工,1,1,0,0,1,0.8,2.8,-0.2
航空机场,1,1,0,0,1,0.8,2.8,NEW
石油石化,1,0,0,0,2,-0.4,1.6,NEW
物流,1,0,0,0,2,-0.4,1.6,+0.2
金融,1,1,1,2,5,-1.6,0.3999999999999999,NEW
消费,1,3,0,8,13,-2.0,0.0,-3.0
电力,1,2,0,15,4,-2.5,-0.5,-2.1
