股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600522,中天科技,9.41,9.03,5.55,3.21,342460172.0,2.57,12.43,0.21,0.964,1,通信,51.54
sh.600353,旭光电子,12.03,11.58,1.03,1.39,217959705.0,0.69,3.26,10.67,0.997,1,电子,36.68
sh.601877,nan,26.44,25.05,1.44,2.6,1373146117.0,0.64,8.27,12.27,0.964,0,,30.79
sh.601038,nan,22.14,20.68,0.94,0.99,251559139.0,0.79,2.83,17.27,1.0,0,,29.65
sh.600060,nan,27.75,27.14,0.91,1.06,324457888.0,0.95,5.59,3.08,0.994,0,,28.48
sh.603993,nan,19.36,18.18,1.08,1.85,3607494374.0,0.64,7.62,7.56,0.967,0,,27.86
sh.600096,nan,13.64,12.87,1.23,1.3,550943392.0,0.8,2.56,14.43,0.99,0,,27.68
sh.603939,nan,19.2,18.62,2.04,1.75,256996820.0,1.04,0.84,4.98,1.0,0,,25.87
sh.600529,nan,19.2,18.62,2.04,1.75,256996820.0,1.04,0.84,4.98,1.0,0,,25.87
sh.603206,嘉环科技,24.48,24.48,3.16,6.06,659719100.0,0.49,-0.45,2.77,0.913,1,通信,24.42
sh.600887,nan,26.06,25.63,1.71,1.31,2822807869.0,1.44,-3.48,6.02,0.952,0,,23.89
sh.603569,nan,15.92,14.82,1.31,1.6,311753564.0,0.62,-0.87,16.37,0.991,0,,23.88
sh.600583,nan,5.53,5.29,1.25,1.31,301274366.0,0.96,-1.07,9.07,0.975,0,,22.45
sh.600521,nan,15.33,14.84,0.91,1.47,214174674.0,0.63,1.73,9.5,0.976,0,,21.64
sh.603103,nan,9.38,8.69,1.58,2.6,1938949183.0,0.54,2.29,9.84,0.959,0,,21.23
sh.600642,nan,11.1,10.6,1.13,2.11,686641093.0,0.55,2.21,11.22,0.933,0,,18.54
sh.601098,nan,16.57,16.3,2.26,2.72,555538654.0,0.58,0.0,12.95,0.94,0,,18.45
