股票代码,股票名称,行业
000524,岭南控股,旅游酒店
600886,国投电力,电力行业
600674,川投能源,电力行业
601928,凤凰传媒,文化传媒
000598,兴蓉环境,公用事业
600861,北京人力,专业服务
002706,良信股份,电网设备
600027,华电国际,电力行业
