股票代码,股票名称,综合分
002593,日上集团,78.36
002863,今飞凯达,76.44
601618,中国中冶,76.08
601279,英利汽车,76.07
300350,华鹏飞,75.98
000557,西部创业,75.77
002384,东山精密,75.65
601326,秦港股份,75.12
300413,芒果超媒,74.87
002172,澳洋健康,74.86
688048,长光华芯,74.74
000633,合金投资,74.72
600802,福建水泥,74.65
300797,钢研纳克,74.57
003016,欣贺股份,74.51
002343,慈文传媒,74.35
600919,江苏银行,74.34
002369,卓翼科技,74.14
002247,聚力文化,73.95
600138,中青旅,73.68
301355,南王科技,73.54
002398,垒知集团,73.52
003003,天元股份,73.47
300112,万讯自控,73.44
002732,燕塘乳业,73.44
600787,中储股份,73.44
000761,本钢板材,73.31
000590,古汉医药,73.26
600597,光明乳业,73.23
600938,中国海油,73.23
000637,茂化实华,73.23
000985,大庆华科,73.19
001222,源飞宠物,73.16
300425,中建环能,73.11
603860,中公高科,73.11
600305,恒顺醋业,73.04
002622,皓宸医疗,73.01
000607,华媒控股,73.0
300512,中亚股份,72.97
002330,得利斯,72.92
