板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
电力,1,7,0,2,8,4.8,6.8,+5.2
一带一路,1,7,0,2,8,4.8,6.8,NEW
军工,1,7,0,2,8,4.8,6.8,+3.8
教育,1,6,0,11,3,3.7,5.7,+13.6
农业,1,5,0,2,10,2.4,4.4,+2.8
综合,1,5,0,2,10,2.4,4.4,NEW
人工智能,1,5,0,2,10,2.4,4.4,+2.8
高速公路,1,2,0,0,4,1.2,3.2,NEW
有色金属,1,0,0,0,1,-0.2,1.8,NEW
传媒,3,10,2,14,51,-6.399999999999999,-0.3999999999999986,NEW
物流,2,6,1,21,12,-4.5,-0.5,-1.9
基建市政工程,2,3,1,19,6,-5.7,-1.7000000000000002,NEW
交通运输,2,3,1,19,6,-5.7,-1.7000000000000002,NEW
环保,1,1,1,19,2,-6.9,-4.9,NEW
消费,3,11,3,31,53,-12.7,-6.699999999999999,-9.7
