股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.601166,兴业银行,7.04,6.66,0.89,0.94,1621970084.0,1.04,3.07,10.97,1.0,1,金融,39.86
sh.600285,nan,5.51,5.12,1.4,1.45,345372918.0,1.15,7.21,13.38,0.972,0,,34.98
sh.603885,吉祥航空,9.44,9.39,3.34,4.59,497022236.0,1.06,3.85,1.61,0.929,1,航空机场,34.66
sh.600505,西昌电力,9.44,9.39,3.34,4.59,497022236.0,1.06,3.85,1.61,0.929,1,电力,34.66
sh.601919,nan,15.32,14.21,0.81,0.91,1556149499.0,1.03,5.36,14.41,1.0,0,,33.94
sh.603766,nan,13.82,12.82,0.85,1.15,240926647.0,0.8,5.9,16.53,1.0,0,,33.42
sh.605555,nan,23.38,21.51,1.5,1.88,2649287094.0,0.91,9.77,12.73,0.963,0,,32.87
sh.600803,nan,19.04,18.11,1.57,1.93,5246957513.0,0.97,9.36,10.44,0.951,0,,31.43
sh.601128,常熟银行,6.23,6.1,1.01,1.43,230275268.0,0.74,0.0,5.24,0.99,1,金融,30.26
sh.600415,nan,11.91,11.53,1.28,1.51,273337246.0,0.86,4.84,10.38,0.987,0,,29.44
sh.600816,建元信托,10.26,9.86,0.83,1.24,813280420.0,0.54,0.98,7.04,0.983,1,金融,29.26
sh.603659,nan,25.18,23.4,2.08,2.59,224780398.0,0.78,4.14,12.46,0.979,0,,29.14
sh.601717,nan,15.76,14.71,1.38,1.95,328847761.0,0.66,2.47,19.03,0.981,0,,27.81
sh.600887,nan,27.04,25.55,0.91,1.28,1546192368.0,0.79,3.56,11.41,0.988,0,,27.3
sh.600535,nan,15.34,14.77,1.09,1.6,260873479.0,0.79,4.14,8.1,0.976,0,,25.88
sh.601098,nan,15.59,14.66,0.8,1.13,635501919.0,0.7,1.84,14.94,0.983,0,,24.97
sh.600989,nan,14.31,13.62,0.81,0.91,908689335.0,0.96,0.41,13.48,0.969,0,,23.58
sh.600598,nan,15.14,14.95,0.88,1.33,408566352.0,0.74,5.43,2.92,0.949,0,,21.88
sh.601918,nan,9.62,9.5,1.91,2.39,488064493.0,0.83,-1.22,12.6,0.932,0,,19.57
sh.603882,nan,13.21,12.79,0.8,1.43,351390688.0,0.47,-2.44,12.62,0.959,0,,17.34
