code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
003026,2026-06-29,2026-06-30,40.54,45.564,100,12.39,take_partial_final
603042,2026-06-29,2026-06-30,14.765,14.386,100,-2.57,trend_break
605277,2026-06-29,2026-06-30,19.519,19.041,100,-2.45,trend_break
600667,2026-06-29,2026-06-30,27.808,29.151,100,4.83,take_partial_final
600353,2026-06-29,2026-06-30,48.548,41.225,100,-15.09,stop_hard
001229,2026-06-29,2026-06-30,29.91,36.284,100,21.31,take_partial_final
601398,2026-06-29,2026-06-30,7.127,7.063,200,-0.9,trend_break
000001,2026-06-29,2026-06-30,10.23,10.04,200,-1.86,trend_break
002335,2026-06-29,2026-07-01,43.063,40.1,100,-6.88,trend_break
002831,2026-06-29,2026-07-06,36.236,30.77,100,-15.09,stop_hard
