股票代码,股票名称,综合分
600598,北大荒,100.0
603357,设计总院,100.0
603317,天味食品,100.0
600620,天宸股份,100.0
600004,白云机场,100.0
300068,ST南都,100.0
603202,天有为,100.0
605005,合兴股份,100.0
603282,亚光股份,100.0
603580,艾艾精工,97.36
603008,ST喜临门,96.93
600901,江苏金租,96.61
603159,上海亚虹,96.36
600581,*ST八钢,96.26
002140,东华科技,96.25
600648,外高桥,96.22
002227,*ST特迅,95.83
002572,索菲亚,95.54
603001,奥康国际,95.18
600930,华电新能,94.75
603766,隆鑫通用,94.2
600208,衢州发展,93.58
603683,晶华新材,93.57
688765,禾元生物,92.86
002109,ST兴化,92.85
600080,ST金花,92.73
000669,ST金鸿,92.3
002620,*ST瑞和,91.54
002368,太极股份,91.38
002598,ST章鼓,91.23
600639,浦东金桥,91.2
001311,多利科技,91.18
300290,ST荣科,91.1
300125,*ST聆达,90.83
002102,ST能特,90.69
002253,川大智胜,90.32
600053,*ST九鼎,90.19
002487,大金重工,90.15
002342,巨力索具,89.95
000401,金隅冀东,89.84
