股票代码,股票名称,综合分
600900,长江电力,99.23
000333,美的集团,90.07
600887,伊利股份,90.07
601818,光大银行,90.07
000429,粤高速Ａ,80.92
600600,XD青岛啤,80.92
601088,中国神华,80.92
601166,兴业银行,80.92
601328,交通银行,80.92
601398,工商银行,80.92
601838,成都银行,80.92
002003,伟星股份,71.77
002352,顺丰控股,71.77
002807,江阴银行,71.77
600000,XD浦发银,71.77
600008,首创环保,71.77
600012,皖通高速,71.77
600015,华夏银行,71.77
600020,中原高速,71.77
600025,华能水电,71.77
600036,招商银行,71.77
600377,宁沪高速,71.77
600566,济川药业,71.77
600919,江苏银行,71.77
601006,大秦铁路,71.77
601009,南京银行,71.77
601158,重庆水务,71.77
601169,北京银行,71.77
601658,邮储银行,71.77
601668,XD中国建,71.77
601816,京沪高铁,71.77
601916,浙商银行,71.77
603167,渤海轮渡,71.77
000001,平安银行,62.62
000538,云南白药,62.62
000828,东莞控股,62.62
001227,兰州银行,62.62
002293,罗莱生活,62.62
003000,劲仔食品,62.62
600039,四川路桥,62.62
