股票代码,股票名称,建议买入价,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
600887,伊利股份,26.41,0.9705882352941176,0.8235294117647058,68,34,34,33,33
600026,中远海能,17.55,0.8823529411764706,0.8235294117647058,68,34,34,41,26
600900,长江电力,28.33,0.9705882352941176,0.7941176470588235,68,34,34,36,31
601928,凤凰传媒,9.46,0.9705882352941176,0.7647058823529411,68,34,34,35,33
600428,中远海特,5.9,1.0,0.7352941176470589,68,34,34,29,35
601098,中南传媒,10.09,1.0,0.7352941176470589,68,34,34,33,32
601857,中国石油,8.88,1.0,0.7352941176470589,68,34,34,33,30
000099,中信海直,6.54,0.9705882352941176,0.7352941176470589,68,34,34,30,32
000089,深圳机场,9.81,0.9705882352941176,0.7352941176470589,68,34,34,29,35
002444,巨星科技,11.36,0.9705882352941176,0.7352941176470589,68,34,34,28,39
600461,洪城环境,15.53,0.9411764705882353,0.7352941176470589,68,34,34,32,34
002019,亿帆医药,9.48,0.8823529411764706,0.7352941176470589,68,34,34,36,29
000848,承德露露,8.02,1.0,0.7058823529411765,68,34,34,29,35
000895,双汇发展,24.53,1.0,0.7058823529411765,68,34,34,29,37
002283,天润工业,8.2,1.0,0.7058823529411765,68,34,34,31,35
600557,康缘药业,14.72,1.0,0.7058823529411765,68,34,34,34,29
600258,首旅酒店,21.91,0.9705882352941176,0.7058823529411765,68,34,34,32,34
600674,川投能源,15.83,0.9411764705882353,0.7058823529411765,68,34,34,37,29
600741,华域汽车,19.76,0.9411764705882353,0.7058823529411765,68,34,34,31,37
600761,安徽合力,16.68,0.8823529411764706,0.7058823529411765,68,34,34,36,32
