code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
600749,2026-04-20,2026-04-21,20.12,20.969,100,4.22,take_partial
603383,2026-04-20,2026-04-22,31.441,33.137,100,5.39,take_partial
603383,2026-04-20,2026-04-23,31.441,32.777,300,4.25,take_partial_final
001313,2026-04-20,2026-04-24,8.478,8.531,1200,0.62,take_band
000703,2026-04-20,2026-04-28,15.075,15.764,200,4.57,take_partial
600749,2026-04-20,2026-04-28,20.12,17.085,400,-15.09,stop_hard
000703,2026-04-20,2026-04-29,15.075,17.113,500,13.52,take_partial_final
002468,2026-04-20,2026-04-30,17.067,16.214,600,-5.0,max_hold
600031,2026-04-20,2026-04-30,19.91,20.14,500,1.15,max_hold
600196,2026-04-20,2026-04-30,25.666,24.446,400,-4.75,max_hold
000975,2026-04-20,2026-04-30,29.209,26.024,300,-10.9,max_hold
