板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
电力,4.0,4,0,2,2,发电|核电|电力|绿电|风电,发电装机突破40亿千瓦 电力供给能力迈上新台阶,国家能源局今天（6月25日）公布的数据显示，截至5月底，全国累计发电装机容量突破40亿千瓦大关，居世界首位，我国电力供给能力迈上新台阶。
风电,4.0,4,0,2,2,风电场,发电装机突破40亿千瓦 电力供给能力迈上新台阶,国家能源局今天（6月25日）公布的数据显示，截至5月底，全国累计发电装机容量突破40亿千瓦大关，居世界首位，我国电力供给能力迈上新台阶。
机器人,2.0,2,0,0,10,机器人,前4个月我国新兴产业和未来产业新设企业37.3万户,市场监管总局公布最新数据显示，我国“8大新兴产业”和“9大未来产业”相关企业稳定增长，今年前4个月共新设37.3万户。
人工智能,2.0,2,0,0,10,人工智能,前4个月我国新兴产业和未来产业新设企业37.3万户,市场监管总局公布最新数据显示，我国“8大新兴产业”和“9大未来产业”相关企业稳定增长，今年前4个月共新设37.3万户。
人工智能,0.0,0,0,1,12,人工智能,【新闻特写】中国创新为全球发展注入新机遇,第十七届夏季达沃斯论坛今天（6月25日）闭幕。在为期三天的论坛里，“中国创新”成为与会嘉宾热议的焦点。
航空机场,0.0,0,0,0,3,机场,委内瑞拉发生7级以上强震 至少164人遇难,委内瑞拉24日连续发生7级以上强震，首都加拉加斯等多地震感强烈。据委内瑞拉官方通报，强震目前已造成至少164人遇难、971人受伤。
建筑建材,0.0,0,0,0,3,建筑,委内瑞拉发生7级以上强震 至少164人遇难,委内瑞拉24日连续发生7级以上强震，首都加拉加斯等多地震感强烈。据委内瑞拉官方通报，强震目前已造成至少164人遇难、971人受伤。
