板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
电力,3,12,0,9,12,9.3,15.3,+13.7
光伏,2,8,0,8,5,7.0,11.0,NEW
储能,2,8,0,8,5,7.0,11.0,NEW
物流,2,6,0,1,10,3.6999999999999997,7.699999999999999,+6.3
农业,1,5,0,1,2,5.1,7.1,+5.5
汽车,1,5,0,1,2,5.1,7.1,NEW
医药,1,5,0,1,2,5.1,7.1,+10.0
军工,1,5,0,1,2,5.1,7.1,+4.1
一带一路,1,4,0,1,7,2.3,4.3,NEW
计算机,1,4,0,1,7,2.3,4.3,NEW
电商,1,4,0,1,7,2.3,4.3,+2.9
核电,1,4,0,1,7,2.3,4.3,NEW
机器人,2,9,0,24,16,0.1999999999999993,4.199999999999999,+2.2
环保,1,3,0,7,3,1.9,3.9,NEW
钢铁,1,2,0,0,3,1.4,3.4,NEW
教育,2,2,1,5,6,-1.7,2.3,+10.2
建筑建材,1,0,0,1,0,-0.3,1.7,NEW
人工智能,1,4,0,23,14,-4.9,-2.9000000000000004,-4.5
