股票代码,股票名称,行业
600886,国投电力,电力行业
600027,华电国际,电力行业
603466,风语筑,文化传媒
002706,良信股份,电网设备
600674,川投能源,电力行业
000997,新 大 陆,互联网服务
600900,长江电力,电力行业
601985,中国核电,电力行业
002705,新宝股份,家电行业
600757,长江传媒,文化传媒
601928,凤凰传媒,文化传媒
000099,中信海直,航空机场
