股票代码,股票名称,命中策略数,来源策略,综合评分,建议买入价,建议仓位%,建议金额,最新价,止损价(下轨),止盈价(上轨),MA20
001219,青岛食品,1,Boll,50,12.88,12,11592.0,12.88,12.24,13.52,12.88
001230,劲旅环境,1,Boll,50,17.38,12,12166.0,17.38,16.51,18.25,17.38
001255,博菲电气,1,Boll,50,28.42,12,11368.0,28.42,27.0,29.84,28.42
001279,强邦新材,1,Boll,50,25.63,12,12815.0,25.63,24.35,26.91,25.63
001312,福恩股份,1,Boll,50,18.85,12,11310.0,18.85,17.91,19.79,18.85
001336,楚环科技,1,Boll,50,24.5,12,12250.0,24.5,23.27,25.73,24.5
001338,永顺泰,1,Boll,50,9.6,12,11520.0,9.6,9.12,10.08,9.6
001368,通达创智,1,Boll,50,22.93,12,11465.0,22.93,21.78,24.08,22.93
001378,德冠新材,1,Boll,50,18.91,12,11346.0,18.91,17.96,19.86,18.91
001379,腾达科技,1,Boll,50,16.95,12,11865.0,16.95,16.1,17.8,16.95
001380,华纬科技,1,Boll,50,16.07,12,11249.0,16.07,15.27,16.87,16.07
001914,招商积余,1,Boll,50,9.39,12,12207.0,9.39,8.92,9.86,9.39
002001,新 和 成,1,Boll,50,29.41,12,11764.0,29.41,27.94,30.88,29.41
002003,伟星股份,1,Boll,50,8.93,12,11609.0,8.93,8.48,9.38,8.93
002007,华兰生物,1,Boll,50,12.7,12,11430.0,12.7,12.06,13.33,12.7
002019,亿帆医药,1,Boll,50,9.87,12,11844.0,9.87,9.38,10.36,9.87
002026,山东威达,1,Boll,50,11.9,12,11900.0,11.9,11.3,12.5,11.9
002033,丽江股份,1,Boll,50,8.3,12,11620.0,8.3,7.89,8.72,8.3
002036,联创电子,1,Boll,50,7.96,12,11940.0,7.96,7.56,8.36,7.96
002037,保利联合,1,Boll,50,6.81,12,12258.0,6.81,6.47,7.15,6.81
002038,双鹭药业,1,Boll,50,5.31,12,12213.0,5.31,5.04,5.58,5.31
002040,南 京 港,1,Boll,50,8.24,12,12360.0,8.24,7.83,8.65,8.24
002043,兔 宝 宝,1,Boll,50,11.55,12,11550.0,11.55,10.97,12.13,11.55
002055,ST得润,1,Boll,50,5.79,12,12159.0,5.79,5.5,6.08,5.79
002064,华峰化学,1,Boll,50,9.86,12,11832.0,9.86,9.37,10.35,9.86
002065,东华软件,1,Boll,50,6.84,12,12312.0,6.84,6.5,7.18,6.84
002066,瑞泰科技,1,Boll,50,22.55,12,11275.0,22.55,21.42,23.68,22.55
002073,软控股份,1,Boll,50,5.35,12,11770.0,5.35,5.08,5.62,5.35
002082,ST万邦,1,Boll,50,11.96,12,11960.0,11.96,11.36,12.56,11.96
002093,国脉科技,1,Boll,50,6.71,12,12078.0,6.71,6.37,7.05,6.71
002095,生 意 宝,1,Boll,50,13.23,12,11907.0,13.23,12.57,13.89,13.23
002097,山河智能,1,Boll,50,8.04,12,12060.0,8.04,7.64,8.44,8.04
002103,广博股份,1,Boll,50,6.37,12,12103.0,6.37,6.05,6.69,6.37
002105,信隆健康,1,Boll,50,5.43,12,11946.0,5.43,5.16,5.7,5.43
002107,沃华医药,1,Boll,50,5.91,12,11820.0,5.91,5.61,6.21,5.91
002111,威海广泰,1,Boll,50,9.3,12,12090.0,9.3,8.84,9.77,9.3
002115,三维通信,1,Boll,50,11.33,12,12463.0,11.33,10.76,11.9,11.33
002116,中国海诚,1,Boll,50,7.16,12,12172.0,7.16,6.8,7.52,7.16
002117,东港股份,1,Boll,50,8.9,12,11570.0,8.9,8.46,9.35,8.9
002120,韵达股份,1,Boll,50,6.31969256,12,12007.0,6.31969256,6.0,6.64,6.32
002123,梦网科技,1,Boll,50,7.39,12,11824.0,7.39,7.02,7.76,7.39
002135,东南网架,1,Boll,50,6.49,12,11682.0,6.49,6.17,6.81,6.49
002139,拓邦股份,1,Boll,50,9.51,12,12363.0,9.51,9.03,9.99,9.51
002140,东华科技,1,Boll,50,9.59,12,12467.0,9.59,9.11,10.07,9.59
002152,广电运通,1,Boll,50,9.56,12,12428.0,9.56,9.08,10.04,9.56
002153,石基信息,1,Boll,50,7.74,12,12384.0,7.74,7.35,8.13,7.74
002159,三特索道,1,Boll,50,13.49,12,12141.0,13.49,12.82,14.16,13.49
002163,海南发展,1,Boll,50,9.11,12,11843.0,9.11,8.65,9.57,9.11
002166,莱茵生物,1,Boll,50,7.39,12,11824.0,7.39,7.02,7.76,7.39
002170,芭田股份,1,Boll,50,11.08,12,12188.0,11.08,10.53,11.63,11.08
002174,游族网络,1,Boll,50,9.93,12,11916.0,9.93,9.43,10.43,9.93
002177,御银股份,1,Boll,50,5.98,12,11960.0,5.98,5.68,6.28,5.98
002186,全 聚 德,1,Boll,50,8.93,12,11609.0,8.93,8.48,9.38,8.93
002196,方正电机,1,Boll,50,12.33,12,12330.0,12.33,11.71,12.95,12.33
002204,大连重工,1,Boll,50,5.48,12,12056.0,5.48,5.21,5.75,5.48
002205,国统股份,1,Boll,50,11.72,12,11720.0,11.72,11.13,12.31,11.72
002206,海 利 得,1,Boll,50,5.16,12,11868.0,5.16,4.9,5.42,5.16
002212,天融信,1,Boll,50,6.03,12,12060.0,6.03,5.73,6.33,6.03
002223,鱼跃医疗,1,Boll,50,25.32,12,12660.0,25.32,24.05,26.59,25.32
002235,安妮股份,1,Boll,50,9.37,12,12181.0,9.37,8.9,9.84,9.37
002238,天威视讯,1,Boll,50,5.95,12,11900.0,5.95,5.65,6.25,5.95
002249,大洋电机,1,Boll,50,7.85,12,11775.0,7.85,7.46,8.24,7.85
002255,海陆重工,1,Boll,50,8.93,12,11609.0,8.93,8.48,9.38,8.93
002262,恩华药业,1,Boll,50,18.97,12,11382.0,18.97,18.02,19.92,18.97
002264,新 华 都,1,Boll,50,6.22,12,11818.0,6.22,5.91,6.53,6.22
