股票代码,股票名称,综合分
002536,飞龙股份,100.0
002156,通富微电,84.73
688347,华虹宏力,75.36
002965,祥鑫科技,75.34
688432,有研硅,71.42
688037,芯源微,66.8
688072,拓荆科技,65.16
300604,长川科技,63.53
688382,益方生物,63.11
688147,微导纳米,60.28
688062,迈威生物,60.28
688981,中芯国际,59.3
002475,立讯精密,58.3
688012,中微公司,57.9
600439,瑞贝卡,57.59
600539,狮头股份,57.52
688041,海光信息,56.22
601133,柏诚股份,55.96
600584,长电科技,55.63
301328,维峰电子,54.71
688428,诺诚健华,53.82
300458,全志科技,53.02
002980,华盛昌,52.78
603800,洪田股份,51.66
301666,大普微-UW,49.93
301191,菲菱科思,47.31
300567,精测电子,46.75
002653,海思科,45.79
000811,冰轮环境,44.41
002515,金字火腿,43.5
600605,汇通能源,43.25
300814,中富电路,43.11
688362,甬矽电子,42.82
688256,寒武纪,42.02
002436,兴森科技,41.58
688220,翱捷科技,40.91
002670,国盛证券,39.74
300592,华凯易佰,38.75
300903,科翔股份,38.67
002384,东山精密,38.27
