股票代码,股票名称,建议买入价,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
600887,伊利股份,26.19,0.9714285714285714,0.8181818181818182,68,35,33,33,33
600004,白云机场,17.43,0.8857142857142857,0.8181818181818182,68,35,33,42,25
600761,安徽合力,28.17,0.9714285714285714,0.7878787878787878,68,35,33,37,30
601969,海南矿业,8.86,1.0,0.7575757575757576,68,35,33,34,29
601985,中国核电,9.42,0.9714285714285714,0.7575757575757576,68,35,33,35,33
002332,仙琚制药,8.39,1.0,0.7272727272727273,68,35,33,32,34
600216,浙江医药,5.86,1.0,0.7272727272727273,68,35,33,30,34
600886,国投电力,14.61,1.0,0.7272727272727273,68,35,33,35,28
601101,昊华能源,10.06,1.0,0.7272727272727273,68,35,33,34,32
000603,盛达资源,6.53,0.9714285714285714,0.7272727272727273,68,35,33,31,31
000683,博源化工,9.84,0.9714285714285714,0.7272727272727273,68,35,33,30,34
002507,涪陵榨菜,11.46,0.9714285714285714,0.7272727272727273,68,35,33,29,38
002550,千红制药,22.57,0.9714285714285714,0.7272727272727273,68,35,33,33,33
600557,康缘药业,15.36,0.9428571428571428,0.7272727272727273,68,35,33,33,33
600256,广汇能源,15.69,0.9428571428571428,0.7272727272727273,68,35,33,38,28
000957,中通客车,9.32,0.8857142857142857,0.7272727272727273,68,35,33,36,29
600803,新奥股份,16.51,0.8857142857142857,0.7272727272727273,68,35,33,36,32
