股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.603093,南华期货,6.17,5.76,14.06,10.03,456510718.0,1.92,4.58,24.65,0.961,1,金融,65.57
sh.600354,敦煌种业,5.76,5.52,4.7,3.4,291437435.0,2.02,2.13,9.71,0.968,1,农业,48.51
sh.600159,大龙地产,5.67,5.45,2.18,1.96,787439869.0,1.26,4.04,9.63,0.981,1,地产,42.29
sh.603848,nan,21.33,19.96,1.36,1.11,1708937803.0,1.52,5.65,19.18,0.968,0,,38.3
sh.601166,兴业银行,6.12,6.12,1.56,1.46,347984645.0,1.04,-4.82,1.16,0.947,1,金融,27.54
sh.601916,浙商银行,6.12,6.12,1.56,1.46,347984645.0,1.04,-4.82,1.16,0.947,1,金融,27.54
sh.600508,nan,13.17,12.88,2.54,1.96,1093325134.0,1.25,-0.83,10.49,0.972,0,,26.7
sh.601838,成都银行,5.59,5.58,1.14,1.54,231890849.0,0.72,-3.29,6.07,0.951,1,金融,26.65
sh.601169,北京银行,10.07,10.07,1.62,2.19,1563592708.0,0.8,-7.19,2.44,0.918,1,金融,23.51
sh.601939,建设银行,10.07,10.07,1.62,2.19,1563592708.0,0.8,-7.19,2.44,0.918,1,金融,23.51
sh.600801,nan,6.12,6.12,1.56,1.46,347984645.0,1.04,-4.82,1.16,0.947,0,,17.54
