序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
2209,300305,裕兴股份,6.07,-0.98%,18.66%,4850600.0
2212,603356,华菱精工,13.02,-0.99%,36.45%,10359300.0
2217,603008,喜临门,17.6,-1.01%,16.33%,43763400.0
2218,300621,维业股份,8.84,-1.01%,22.33%,10350000.0
2225,2380,科远智慧,26.71,-1.04%,52.72%,47432900.0
2241,301355,南王科技,11.65,-1.10%,25.77%,9256700.0
2249,48,京基智农,16.81,-1.12%,34.60%,149000000.0
2253,300753,爱朋医疗,28.57,-1.14%,68.17%,42071400.0
2254,603779,威龙股份,6.86,-1.15%,14.32%,1128500.0
2261,603613,国联股份,29.86,-1.16%,23.38%,29458200.0
2287,1259,利仁科技,25.35,-1.25%,17.94%,9721800.0
2291,688739,成大生物,26.69,-1.26%,5.43%,15161700.0
2296,603399,永杉锂业,9.36,-1.27%,32.53%,54334600.0
2314,301,东方盛虹,9.04,-1.31%,2.31%,11884800.0
2338,301056,森赫股份,12.28,-1.37%,34.98%,3218800.0
2348,301103,何氏眼科,20.36,-1.40%,9.66%,514900.0
2349,300977,深圳瑞捷,18.25,-1.40%,16.35%,8193600.0
2380,2064,华峰化学,8.74,-1.47%,6.56%,99193300.0
2391,300606,金太阳,23.58,-1.50%,103.21%,1228100.0
2401,2350,北京科锐,7.14,-1.52%,27.55%,16296500.0
2415,300823,建科智能,14.95,-1.58%,25.52%,8981900.0
2420,600426,华鲁恒升,24.63,-1.60%,8.32%,108000000.0
2446,300626,华瑞股份,10.55,-1.68%,25.53%,4894900.0
2455,2623,亚玛顿,19.61,-1.70%,18.00%,956000.0
2470,300402,宝色股份,17.52,-1.74%,19.48%,1316200.0
2483,600879,航天电子,11.06,-1.78%,21.86%,338000000.0
2514,600791,京能置业,4.7,-1.88%,15.32%,9733800.0
2516,600613,神奇制药,6.26,-1.88%,15.86%,3269500.0
2540,688285,高铁电气,8.46,-1.97%,6.60%,545600.0
2545,605167,利柏特,10.38,-1.98%,24.31%,18445200.0
2549,688472,阿特斯,12.24,-2.00%,71.67%,108000000.0
2551,601515,东峰集团,4.4,-2.00%,19.80%,18924000.0
2553,2014,永新股份,11.23,-2.01%,4.35%,93800.00000000001
2554,603700,宁水集团,11.64,-2.02%,15.09%,1312600.0
2559,688163,赛伦生物,22.51,-2.05%,6.86%,341000.0
2565,603990,麦迪科技,14.59,-2.08%,30.07%,16992400.0
2575,300636,同和药业,8.35,-2.11%,18.62%,1976200.0
2585,688303,大全能源,28.39,-2.14%,9.46%,245000000.00000003
2586,605077,华康股份,17.8,-2.14%,9.52%,37295500.0
2613,688309,恒誉环保,23.55,-2.20%,12.36%,1022900.0000000001
2619,2244,滨江集团,11.53,-2.21%,12.04%,3677600.0
2622,712,锦龙股份,13.66,-2.22%,37.20%,43589100.0
2633,2410,广联达,13.85,-2.26%,22.87%,15389900.0
2641,301081,严牌股份,10.22,-2.29%,19.65%,6987100.0
2661,605259,绿田机械,25.0,-2.34%,11.37%,14292100.0
2676,300191,潜能恒信,19.3,-2.38%,30.11%,5679900.0
2680,301057,汇隆新材,22.64,-2.41%,26.07%,28459600.0
2698,688251,井松智能,25.19,-2.48%,80.64%,677000.0
2707,300407,凯发电气,10.43,-2.52%,21.45%,3630600.0
2718,683,博源化工,6.09,-2.56%,14.78%,4226900.0
2719,2345,潮宏基,14.43,-2.57%,24.87%,5369000.0
2754,300717,华信新材,19.17,-2.69%,19.04%,11084000.0
2758,600639,浦东金桥,10.79,-2.71%,10.26%,18134400.0
2784,603977,国泰集团,12.37,-2.83%,24.90%,90209700.0
2809,2718,友邦吊顶,24.17,-2.89%,63.53%,14302700.0
2814,301059,金三江,10.88,-2.94%,11.72%,9852600.0
2830,697,*ST炼石,8.41,-3.00%,16.01%,32489800.0
2849,300535,达威股份,18.42,-3.10%,26.70%,15179400.0
2867,2299,圣农发展,16.75,-3.18%,11.86%,28870300.000000004
2888,300912,凯龙高科,16.88,-3.27%,69.96%,1657700.0
2910,688156,路德环境,19.29,-3.36%,24.91%,6896799.999999999
2923,300417,南华仪器,12.55,-3.46%,33.16%,14559700.0
2966,300839,博汇股份,12.93,-3.65%,19.32%,10264900.0
2997,2729,好利科技,13.77,-3.77%,21.51%,2571400.0
3012,301068,大地海洋,26.37,-3.83%,8.89%,21256900.0
3085,688669,聚石化学,22.06,-4.13%,16.00%,5125700.000000001
3141,601658,邮储银行,5.72,-4.35%,2.29%,285000000.0
3168,300649,杭州园林,15.9,-4.45%,25.30%,733300.0
3169,688232,新点软件,26.8,-4.46%,7.46%,17659600.0
3236,300861,美畅股份,15.78,-4.77%,19.44%,44790400.0
3241,688690,纳微科技,26.65,-4.79%,14.51%,3283000.0
3254,688466,金科环境,19.54,-4.87%,8.94%,7517400.0
3258,300851,交大思诺,25.93,-4.88%,19.33%,4086100.0
3264,688126,沪硅产业,24.65,-4.90%,30.05%,98631000.0
3312,603139,康惠股份,21.29,-5.12%,12.76%,5617800.0
3319,301273,瑞晨环保,26.09,-5.16%,30.75%,7667500.0
3333,600562,国睿科技,29.67,-5.21%,17.98%,79284600.0
3340,2105,信隆健康,6.54,-5.22%,20.19%,11406600.0
3342,301268,铭利达,21.17,-5.24%,21.60%,29983500.0
3346,688349,三一重能,29.21,-5.25%,27.97%,991600.0
3348,300550,和仁科技,11.73,-5.25%,11.85%,25653600.0
3355,688658,悦康药业,21.62,-5.30%,13.20%,120000.0
3382,2824,和胜股份,17.7,-5.40%,26.77%,2242200.0
3435,300824,北鼎股份,11.55,-5.64%,11.37%,6096300.0
3436,603208,江山欧派,14.4,-5.64%,37.80%,3828200.0
3459,688272,富吉瑞,23.42,-5.75%,17.72%,276700.0
3483,300174,元力股份,15.79,-5.84%,22.65%,11312600.0
3628,301313,凡拓数创,23.66,-6.52%,24.62%,22120400.0
3636,301176,逸豪新材,25.28,-6.54%,46.98%,12921900.0
3662,1268,联合精密,29.53,-6.67%,31.97%,23701100.0
3670,603789,*ST星农,5.57,-6.70%,14.77%,3439400.0
3697,601155,新城控股,14.59,-6.83%,8.03%,36071200.0
3747,688329,艾隆科技,19.7,-7.08%,24.70%,12763200.0
3828,2706,良信股份,11.03,-7.54%,56.12%,39077400.0
3834,605081,*ST太和,11.56,-7.59%,7.59%,11761700.0
3896,2246,北化股份,19.5,-7.98%,50.75%,169000000.0
3900,300853,申昊科技,21.71,-8.05%,28.23%,5692400.0
3970,2888,惠威科技,17.67,-8.45%,55.84%,16491600.0
3984,300931,通用电梯,9.83,-8.56%,29.23%,11333900.000000002
4006,1288,运机集团,23.87,-8.68%,17.60%,8440300.0
4158,2743,富煌钢构,5.31,-9.54%,51.30%,50040700.0
4190,688177,百奥泰,26.55,-9.72%,6.11%,14539000.0
4195,2715,登云股份,22.13,-9.75%,39.79%,9656200.0
4254,300854,中兰环保,18.92,-10.16%,83.45%,7606200.0
4314,603398,*ST沐邦,7.64,-10.54%,64.15%,328000000.0
4317,688728,格科微,15.88,-10.54%,7.64%,52014300.0
4540,698,ST沈化,3.48,-12.34%,31.26%,15581500.0
4585,600624,ST复华,5.25,-12.79%,38.78%,30829500.0
4642,2193,如意集团,5.06,-13.21%,35.07%,27805400.0
4702,56,皇庭国际,2.31,-13.81%,72.99%,117000000.0
4710,603790,雅运股份,20.63,-13.93%,23.36%,27906400.0
4762,2231,*ST奥维,2.91,-14.41%,57.44%,23983400.0
4844,688584,上海合晶,22.25,-15.40%,25.20%,8872700.0
4910,300413,芒果超媒,29.46,-16.38%,21.64%,38665100.0
4926,2723,小崧股份,7.84,-16.60%,63.44%,94263100.0
4978,600735,ST新华锦,5.04,-17.65%,45.56%,35214100.0
5001,600376,首开股份,5.81,-18.17%,97.55%,103000000.0
5021,688593,新相微,18.31,-18.84%,33.10%,17955300.0
5079,300237,ST美晨,2.5,-20.38%,84.78%,79041300.0
5120,600265,ST景谷,20.46,-23.37%,11.40%,8248099.999999999
5136,603388,*ST元成,1.28,-25.15%,32.66%,11917100.0
5148,603300,海南华铁,7.09,-30.15%,81.28%,900000000.0
5150,688189,南新制药,7.95,-31.41%,51.13%,30220800.0
