策略,信号日期,股票代码,股票名称,买入日期,卖出日期,买入价(次日开盘),卖出价(持有N日收盘),成交买入价(含滑点),成交卖出价(含滑点),持有交易日,毛收益率(%),净收益率(%),交易成本冲击(%),区间最大回撤(%)
boll,20260409,600157,永泰能源,2026-04-10,2026-04-16,1.74,1.7,1.7409,1.6992,5,-2.397,-2.553,0.156,-2.299
boll,20260409,600177,雅戈尔,2026-04-10,2026-04-16,7.42,7.3,7.4237,7.2964,5,-1.716,-1.873,0.157,-3.504
boll,20260409,002043,兔 宝 宝,2026-04-10,2026-04-16,13.84,14.41,13.8469,14.4028,5,4.014,3.848,0.166,0.0
boll,20260410,001286,陕西能源,2026-04-13,2026-04-17,10.88,11.08,10.8854,11.0745,5,1.736,1.574,0.163,0.0
boll,20260413,600642,申能股份,2026-04-14,2026-04-20,8.71,9.17,8.7144,9.1654,5,5.176,5.008,0.168,0.0
boll,20260413,002003,伟星股份,2026-04-14,2026-04-20,9.66,10.08,9.6648,10.075,5,4.244,4.077,0.167,0.0
boll,20260413,002508,老板电器,2026-04-14,2026-04-20,20.18,19.45,20.1901,19.4403,5,-3.714,-3.868,0.154,-3.617
boll,20260413,601019,山东出版,2026-04-14,2026-04-20,8.08,7.68,8.084,7.6762,5,-5.045,-5.197,0.152,-4.95
boll,20260413,601928,凤凰传媒,2026-04-14,2026-04-20,9.71,9.95,9.7149,9.945,5,2.369,2.206,0.164,-0.309
boll,20260415,601006,大秦铁路,2026-04-16,2026-04-22,5.22,5.25,5.2226,5.2474,5,0.474,0.313,0.161,0.0
boll,20260417,002545,东方铁塔,2026-04-20,2026-04-24,21.56,22.65,21.5708,22.6387,5,4.951,4.783,0.168,0.0
boll,20260417,600985,淮北矿业,2026-04-20,2026-04-24,13.3,14.2,13.3066,14.1929,5,6.66,6.49,0.171,0.0
boll,20260417,002508,老板电器,2026-04-20,2026-04-24,19.99,19.0,20.0,18.9905,5,-5.047,-5.199,0.152,-4.952
boll,20260417,600674,川投能源,2026-04-20,2026-04-24,14.85,14.93,14.8574,14.9225,5,0.438,0.278,0.161,0.0
boll,20260424,600282,南钢股份,2026-04-27,2026-05-06,5.23,5.37,5.2326,5.3673,5,2.574,2.41,0.164,-0.191
