序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
1312,2563,森马服饰,5.49,-0.18%,6.00%,419300.0
1313,2216,三全食品,10.9,-0.18%,2.01%,2294900.0
1314,603896,寿仙谷,20.6,-0.19%,2.39%,1532100.0
1315,2479,富春环保,5.31,-0.19%,5.00%,4839800.0
1322,603272,联翔股份,18.78,-0.21%,4.68%,7609000.0
1324,600283,钱江水利,9.51,-0.21%,3.56%,8391400.0
1327,603013,亚普股份,23.05,-0.22%,2.65%,9352400.0
1336,600651,飞乐音响,8.63,-0.23%,10.13%,5906600.0
1337,600345,长江通信,25.66,-0.23%,5.58%,1472400.0
1338,2966,苏州银行,8.55,-0.23%,3.13%,125000000.0
1340,301103,何氏眼科,20.36,-0.24%,2.74%,1119900.0
1343,2788,鹭燕医药,8.22,-0.24%,2.73%,2238700.0
1344,2981,朝阳科技,29.33,-0.24%,3.76%,15020500.0
1346,48,京基智农,16.81,-0.24%,8.64%,73782500.0
1350,600642,申能股份,8.07,-0.25%,1.04%,45269799.99999999
1353,600958,东方证券,11.35,-0.26%,5.30%,86915000.0
1354,300517,海波重科,11.5,-0.26%,15.91%,1099800.0
1357,600708,光明地产,3.65,-0.27%,3.64%,8740000.0
1359,600195,中牧股份,7.33,-0.27%,1.97%,9068900.0
1363,600997,开滦股份,7.17,-0.28%,2.74%,15428500.0
1364,600886,国投电力,14.22,-0.28%,1.20%,321000000.0
1368,603237,五芳斋,17.2,-0.29%,2.54%,186900.0
1370,603919,金徽酒,20.3,-0.29%,3.32%,7702800.0
1375,593,德龙汇能,6.98,-0.29%,7.67%,1373200.0
1378,300078,思创医惠,3.36,-0.30%,7.56%,14228599.999999998
1382,600017,日照港,3.17,-0.31%,3.38%,5672300.0
1383,739,普洛药业,15.93,-0.31%,2.12%,2947600.0
1386,1286,陕西能源,9.21,-0.32%,3.52%,15143800.000000002
1389,601699,潞安环能,15.35,-0.32%,6.39%,81824600.0
1392,600125,铁龙物流,6.24,-0.32%,4.03%,18423200.0
1394,603201,常润股份,18.2,-0.33%,3.05%,2686100.0
1396,600917,重庆燃气,5.98,-0.33%,2.14%,2232200.0
1397,600461,洪城环境,9.1,-0.33%,2.54%,30093900.0
1399,529,广弘控股,5.99,-0.33%,2.93%,1035400.0000000001
1405,951,中国重汽,17.66,-0.34%,4.77%,71001600.0
1406,603527,众源新材,11.45,-0.35%,11.84%,11501500.0
1407,603877,太平鸟,14.15,-0.35%,0.84%,4268300.0
1408,601298,青岛港,8.66,-0.35%,0.90%,27647500.0
1414,601518,吉林高速,2.79,-0.36%,2.19%,1162700.0
1416,600064,南京高科,8.38,-0.36%,4.10%,12867400.0
