板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
物流,3,6,0,3,21,0.8999999999999999,6.9,+5.5
石油石化,2,5,0,2,16,1.2,5.2,NEW
机器人,2,5,0,1,22,0.2999999999999998,4.3,+2.3
人工智能,2,5,0,1,22,0.2999999999999998,4.3,+2.7
煤炭,1,5,0,1,14,1.9,3.9,NEW
消费,1,5,0,1,14,1.9,3.9,+0.9
传媒,1,5,0,1,14,1.9,3.9,NEW
军工,2,0,0,1,2,-0.7,3.3,+0.3
医院,1,0,0,0,0,0.0,2.0,NEW
一带一路,2,0,0,1,10,-2.3,1.7000000000000002,NEW
汽车,1,1,0,1,5,-0.3,1.7,NEW
电力,1,1,0,1,5,-0.3,1.7,+0.1
电池,1,0,0,1,2,-0.7,1.3,NEW
储能,1,0,0,1,2,-0.7,1.3,NEW
元宇宙,1,0,0,1,2,-0.7,1.3,NEW
农业,1,0,0,0,8,-1.6,0.3999999999999999,-1.2
综合,1,3,0,15,18,-4.3,-2.3,NEW
基建市政工程,1,3,0,15,18,-4.3,-2.3,-3.9
建筑建材,1,3,0,15,18,-4.3,-2.3,NEW
租赁,1,3,0,15,18,-4.3,-2.3,NEW
教育,2,1,0,25,8,-8.1,-4.1,+3.8
