股票代码,股票名称,建议买入价
000915,华特达因,30.31
000935,四川双马,22.09
002746,仙坛股份,5.74
603619,中曼石油,21.21
002301,齐心集团,7.18
601898,中煤能源,12.86
600521,华海药业,16.93
000983,山西焦煤,6.32
600409,三友化工,5.72
600894,广日股份,8.51
000933,神火股份,23.19
600196,复星医药,26.07
600508,上海能源,8.37
601598,中国外运,5.95
600219,南山铝业,4.28
600315,上海家化,22.29
002322,理工能科,11.46
601857,中国石油,9.22
603579,荣泰健康,22.03
600256,广汇能源,4.9
600060,海信视像,23.76
600966,博汇纸业,5.75
001205,盛航股份,16.53
605183,确成股份,18.11
603848,好太太,18.18
601600,中国铝业,10.21
601225,陕西煤业,20.54
600223,福瑞达,7.15
000060,中金岭南,5.04
