code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
600036,2026-06-08,2026-06-09,37.407,37.423,100,0.04,trend_break
601818,2026-06-08,2026-06-09,3.043,3.057,700,0.46,trend_break
601658,2026-06-08,2026-06-09,4.86,4.89,500,0.62,trend_break
600018,2026-06-08,2026-06-09,4.87,4.8,500,-1.43,trend_break
601169,2026-06-08,2026-06-09,4.857,4.857,500,0.01,trend_break
600600,2026-06-08,2026-06-09,57.307,57.183,100,-0.22,trend_break
600039,2026-06-08,2026-06-09,7.948,7.952,100,0.05,trend_break
300123,2026-06-08,2026-06-09,4.404,4.286,300,-2.69,trend_break
600298,2026-06-08,2026-06-09,34.945,35.055,100,0.31,trend_break
600900,2026-06-08,2026-06-12,26.757,27.463,100,2.64,take_band
601916,2026-06-08,2026-06-18,2.962,2.856,800,-3.57,trend_break
