股票代码,股票名称,建议买入价
002327,富安娜,6.39
000975,山金国际,27.48
601598,中国外运,5.51
002020,京新药业,15.78
605183,确成股份,20.3
000729,燕京啤酒,11.75
002746,仙坛股份,5.99
000807,云铝股份,29.75
600970,中材国际,9.96
600223,福瑞达,7.19
603238,诺邦股份,17.8
600060,海信视像,22.27
601156,东航物流,17.46
600409,三友化工,6.95
000915,华特达因,29.22
600196,复星医药,25.78
600230,沧州大化,17.32
600894,广日股份,8.97
000887,中鼎股份,19.71
601857,中国石油,9.61
600031,三一重工,21.53
001205,盛航股份,15.8
600256,广汇能源,5.07
600754,锦江酒店,25.61
600219,南山铝业,5.99
000060,中金岭南,6.33
600801,华新建材,22.27
