股票代码,股票名称,建议买入价,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
601001,晋控煤业,25.96,0.9714285714285714,0.8181818181818182,68,35,33,34,32
600026,中远海能,17.34,0.8857142857142857,0.8181818181818182,68,35,33,43,24
600887,伊利股份,27.97,0.9714285714285714,0.7878787878787878,68,35,33,37,29
603162,海通发展,8.83,1.0,0.7575757575757576,68,35,33,34,29
601918,新集能源,9.37,0.9714285714285714,0.7575757575757576,68,35,33,36,32
002440,闰土股份,8.35,1.0,0.7272727272727273,68,35,33,32,34
600256,广汇能源,5.82,1.0,0.7272727272727273,68,35,33,31,34
600886,国投电力,14.47,1.0,0.7272727272727273,68,35,33,35,28
600976,健民集团,10.02,1.0,0.7272727272727273,68,35,33,35,31
000089,深圳机场,6.49,0.9714285714285714,0.7272727272727273,68,35,33,32,30
000680,山推股份,9.81,0.9714285714285714,0.7272727272727273,68,35,33,30,34
002507,涪陵榨菜,11.4,0.9714285714285714,0.7272727272727273,68,35,33,30,37
600352,浙江龙盛,22.42,0.9714285714285714,0.7272727272727273,68,35,33,32,34
600559,老白干酒,15.17,0.9428571428571428,0.7272727272727273,68,35,33,34,32
600598,北大荒,15.53,0.9428571428571428,0.7272727272727273,68,35,33,37,29
002020,京新药业,9.18,0.8857142857142857,0.7272727272727273,68,35,33,36,29
600711,盛屯矿业,16.28,0.8857142857142857,0.7272727272727273,68,35,33,35,33
