序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
101,688607,康众医疗,56.0,22.27%,47.55%,1.36亿
102,688358,祥生医疗,39.55,22.26%,15.14%,3785.84万
103,688590,新致软件,23.73,22.19%,33.58%,1.32亿
104,2792,通宇通讯,69.97,22.09%,92.31%,2987.60万
105,785,居然智家,3.61,21.96%,11.73%,2332.84万
106,688222,成都先导,37.5,21.95%,33.88%,1.45亿
107,601106,中国一重,6.0,21.95%,25.98%,-19.51亿
108,688710,益诺思,69.48,21.83%,14.61%,-735.74万
109,603090,宏盛股份,69.9,21.65%,22.07%,-1290.41万
110,688282,理工导航,85.15,21.64%,16.08%,7053.26万
111,301017,漱玉平民,19.43,21.44%,50.68%,-547.41万
112,600633,浙数文化,16.17,21.40%,23.06%,8630.91万
113,300444,双杰电气,12.65,21.40%,60.45%,-3.83亿
114,688418,震有科技,57.87,21.22%,51.01%,-1.05亿
115,1255,博菲电气,41.48,21.07%,19.44%,-1.32亿
116,603305,旭升集团,21.01,21.03%,37.49%,-4.79亿
117,300139,晓程科技,38.47,20.86%,57.99%,4.12亿
118,300676,华大基因,58.01,20.75%,20.35%,6.39亿
119,2777,久远银海,22.22,20.37%,44.81%,1.33亿
120,688133,泰坦科技,27.82,20.33%,28.56%,6791.17万
121,1202,炬申股份,19.44,20.30%,29.31%,-2.41亿
122,603859,能科科技,54.42,20.24%,41.95%,2.75亿
123,2082,万邦德,17.28,20.17%,16.99%,5064.45万
124,301111,粤万年青,24.97,20.11%,37.65%,7731.26万
125,300766,每日互动,43.85,19.94%,82.86%,12.47亿
126,688777,中控技术,63.27,19.92%,20.79%,13.20亿
127,2769,普路通,13.75,19.88%,23.81%,-8560.93万
128,603882,金域医学,36.68,19.87%,29.85%,-2.00亿
129,300447,全信股份,22.87,19.86%,79.27%,1.13亿
130,2017,东信和平,27.44,19.83%,44.75%,5.16亿
131,301270,汉仪股份,46.97,19.82%,59.97%,2.73亿
132,300129,泰胜风能,16.75,19.73%,92.39%,-2.31亿
133,2278,神开股份,15.25,19.70%,94.84%,-4945.68万
134,301333,诺思格,76.48,19.61%,17.67%,-8992.33万
135,300149,睿智医药,12.69,19.60%,42.76%,2.80亿
136,603918,金桥信息,20.15,19.58%,55.65%,4.73亿
137,688260,昀冢科技,36.38,19.51%,36.88%,9601.97万
138,2203,海亮股份,15.26,19.50%,12.65%,-2.03亿
139,688776,国光电气,130.2,19.45%,24.95%,4998.60万
140,300634,彩讯股份,31.69,19.36%,47.17%,6.80亿
141,601858,中国科传,22.13,19.30%,12.03%,3586.16万
142,300010,豆神教育,8.66,19.28%,56.48%,10.44亿
143,600556,天下秀,8.48,19.27%,57.82%,3.04亿
144,300612,宣亚国际,22.27,19.22%,103.77%,8147.19万
145,2465,海格通信,24.2,19.15%,48.30%,-26.95亿
146,600259,中稀有色,71.9,19.14%,26.00%,6.67亿
147,600118,中国卫星,121.52,19.14%,35.55%,16.76亿
148,300164,通源石油,7.18,19.07%,98.39%,2.27亿
149,601992,金隅集团,2.13,18.99%,6.78%,-3.09亿
150,300762,上海瀚讯,52.65,18.96%,72.55%,8.17亿
151,600880,博瑞传播,6.98,18.71%,42.61%,-3.96亿
152,301005,超捷股份,204.99,18.64%,46.21%,1.89亿
153,2512,达华智能,7.47,18.57%,59.94%,-7.95亿
154,2315,焦点科技,57.7,18.53%,43.34%,2.34亿
155,600301,华锡有色,46.5,18.47%,17.43%,2.07亿
156,600338,西藏珠峰,18.92,18.47%,37.41%,2.53亿
157,300723,一品红,42.65,18.41%,17.88%,1813.60万
158,710,贝瑞基因,14.45,18.25%,27.52%,-4588.89万
159,688137,近岸蛋白,49.6,18.24%,22.68%,-1.04亿
160,301257,普蕊斯,72.24,18.23%,7.37%,-1554.65万
161,600498,烽火通信,44.32,18.19%,45.12%,-18.26亿
162,300774,倍杰特,26.33,18.18%,49.47%,5082.00万
163,503,国新健康,11.33,18.14%,27.32%,-1.62亿
164,2162,悦心健康,5.58,17.97%,28.52%,1891.43万
165,603,盛达资源,38.52,17.76%,17.27%,3.40亿
166,688225,亚信安全,24.01,17.70%,12.81%,2177.55万
167,688585,上纬新材,155.8,17.67%,6.32%,1143.05万
168,2153,石基信息,13.34,17.64%,20.80%,3.45亿
169,300451,创业慧康,6.21,17.61%,47.60%,3.80亿
