板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
基建市政工程,2,7,0,10,24,-0.8,3.2,NEW
消费,3,5,0,14,22,-3.6,2.4,-0.6
储能,1,6,0,7,18,0.3,2.3,NEW
军工,1,0,0,0,0,0.0,2.0,-1.0
机器人,1,0,0,0,3,-0.6,1.4,-0.6
锂电,1,4,0,11,9,-1.1,0.8999999999999999,NEW
电池,1,4,0,11,9,-1.1,0.8999999999999999,NEW
塑料,1,2,0,7,16,-1.7,0.30000000000000004,NEW
环境治理,1,2,0,7,16,-1.7,0.30000000000000004,NEW
金融,3,7,0,22,31,-5.800000000000001,0.1999999999999993,NEW
教育,1,0,0,5,3,-2.1,-0.10000000000000009,+7.8
人工智能,3,5,0,26,23,-7.4,-1.4000000000000004,-3.0
农业,3,5,0,31,23,-8.9,-2.9000000000000004,-4.5
物流,1,1,0,15,11,-5.7,-3.7,-5.1
种子,1,1,0,15,11,-5.7,-3.7,NEW
化工,1,1,0,15,11,-5.7,-3.7,NEW
