板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
军工,3,8,1,17,30,-4.1,1.9000000000000004,-1.1
电力,1,0,0,1,0,-0.3,1.7,+0.1
物流,1,0,0,1,0,-0.3,1.7,+0.3
交通运输,1,0,0,1,3,-0.9,1.1,NEW
铁路运输,1,0,0,1,3,-0.9,1.1,NEW
消费,2,3,1,6,16,-3.0,1.0,-2.0
教育,3,6,1,15,33,-5.3,0.7000000000000002,+8.6
通信,1,5,0,12,14,-1.4,0.6000000000000001,NEW
综合,2,8,1,17,30,-4.1,-0.09999999999999964,NEW
医药,1,3,0,9,17,-2.3,-0.2999999999999998,+2.6
汽车,1,3,1,5,16,-2.7,-0.7000000000000002,NEW
院线,1,3,1,5,16,-2.7,-0.7000000000000002,NEW
食品,1,3,1,5,16,-2.7,-0.7000000000000002,-5.6
机器人,1,3,1,5,16,-2.7,-0.7000000000000002,-2.7
