股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600887,nan,19.61,18.67,2.9,1.82,374964143.0,1.51,3.7,6.29,1.0,0,,35.03
sh.600583,nan,13.85,12.99,1.17,1.15,532101365.0,0.78,3.28,20.12,1.0,0,,31.49
sh.600258,nan,12.16,11.62,2.09,1.71,280906577.0,1.11,2.27,11.36,1.0,0,,30.89
sh.601600,nan,24.4,23.08,1.07,0.96,210185788.0,1.0,3.0,9.12,1.0,0,,28.71
sh.600096,nan,22.4,20.98,0.83,0.67,1158415232.0,1.0,2.52,9.75,1.0,0,,28.0
sh.600060,nan,17.35,16.7,1.83,1.36,281489857.0,1.25,1.11,6.05,0.997,0,,27.98
sh.600038,nan,19.11,18.54,2.2,1.78,321571164.0,0.95,0.31,10.08,1.0,0,,26.43
sh.603103,nan,26.6,25.22,1.38,2.34,1313355943.0,0.63,2.82,15.2,0.97,0,,25.7
sh.601200,nan,19.7,19.01,0.98,0.84,1629987904.0,1.02,0.05,14.0,0.986,0,,25.63
sh.601225,nan,15.43,14.91,1.27,1.31,300761786.0,0.9,0.78,10.93,0.982,0,,24.28
sh.601928,nan,16.23,15.32,0.8,0.85,629914940.0,0.73,0.5,14.54,0.992,0,,24.06
sh.600872,nan,9.36,8.74,1.87,2.37,2288626834.0,0.7,2.18,13.87,0.957,0,,23.97
sh.600535,nan,15.73,14.95,1.04,1.39,246295923.0,0.49,-1.44,18.9,0.979,0,,22.1
sh.601038,nan,26.58,25.76,1.1,1.16,1825876492.0,0.86,-1.81,10.93,0.971,0,,21.6
sh.600867,nan,8.25,8.19,2.03,1.61,327814149.0,1.03,0.98,2.61,0.959,0,,20.76
sh.603317,nan,19.0,18.25,0.96,1.67,3169901298.0,0.58,1.71,8.26,0.949,0,,18.13
sh.600971,nan,12.78,12.45,1.63,1.91,674342122.0,0.66,-3.18,5.53,0.965,0,,17.77
sh.600585,nan,9.68,9.68,1.36,1.95,337695082.0,0.59,-5.28,12.69,0.926,0,,15.98
sh.600461,nan,14.72,14.72,0.89,1.01,388538682.0,0.72,-1.54,3.08,0.922,0,,11.94
