板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
消费,3,7,0,1,7,5.3,11.3,+0.8
光伏,2,7,0,1,5,5.7,9.7,NEW
机器人,1,6,0,0,1,5.8,7.8,NEW
电商,1,6,0,0,1,5.8,7.8,NEW
储能,1,6,0,0,4,5.2,7.2,NEW
锂电,1,6,0,0,4,5.2,7.2,NEW
航空机场,2,3,0,0,5,2.0,6.0,NEW
军工,2,3,0,0,5,2.0,6.0,+5.2
电力,2,4,0,1,13,1.9,5.9,NEW
石油石化,1,3,0,0,4,2.2,4.2,NEW
食品,1,3,0,0,4,2.2,4.2,-0.4
化工,1,3,0,0,4,2.2,4.2,NEW
医药,2,6,0,10,23,-1.5999999999999996,2.4000000000000004,NEW
人工智能,2,3,0,11,23,-4.9,-0.9000000000000004,-11.4
金融,1,3,0,10,19,-3.8,-1.7999999999999998,-1.3
环保,1,3,1,17,12,-5.5,-3.5,NEW
