板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
军工,2,3,1,25,10,2.8,6.8,+4.8
消费,1,3,0,8,7,3.8,5.8,NEW
人工智能,1,3,0,8,7,3.8,5.8,+1.8
电力,2,1,1,25,10,0.0,4.0,-2.0
地产,1,2,0,0,2,2.0,4.0,NEW
物流,1,1,0,0,1,1.8,3.8,NEW
教育,1,1,0,4,3,1.0,3.0,NEW
半导体,1,2,1,1,5,1.0,3.0,NEW
风电,1,2,1,1,5,1.0,3.0,NEW
金融,1,1,0,0,3,1.0,3.0,NEW
化工,1,1,0,2,2,1.0,3.0,NEW
钢铁,1,1,0,2,2,1.0,3.0,NEW
有色金属,1,1,0,2,2,1.0,3.0,NEW
建筑建材,1,1,0,2,2,1.0,3.0,NEW
石油石化,1,1,0,2,2,1.0,3.0,NEW
光伏,1,1,0,0,1,1.0,3.0,NEW
煤炭,1,1,0,0,1,1.0,3.0,NEW
