板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
医药,2,10,0,3,19,5.3,9.3,NEW
航空机场,2,10,0,3,19,5.3,9.3,NEW
核电,1,10,0,2,19,5.6,7.6,NEW
农业,1,10,0,2,19,5.6,7.6,+1.1
金融,4,15,1,26,43,-2.4000000000000004,5.6,+6.1
人工智能,2,13,0,14,38,1.1999999999999993,5.199999999999999,-5.3
国企改革,1,7,0,7,10,2.9,4.9,NEW
建筑建材,1,1,0,0,1,0.8,2.8,NEW
军工,1,0,0,0,0,0.0,2.0,+1.2
消费,2,3,1,11,6,-2.5,1.5,-9.0
电力,3,3,0,13,19,-4.7,1.2999999999999998,NEW
汽车,2,4,0,12,20,-3.6000000000000005,0.39999999999999947,-4.1
食品,2,3,1,13,21,-6.1000000000000005,-2.1000000000000005,-6.7
储能,1,3,0,12,19,-4.4,-2.4000000000000004,NEW
光伏,1,3,0,12,19,-4.4,-2.4000000000000004,NEW
地产,1,3,0,12,19,-4.4,-2.4000000000000004,NEW
计算机,1,3,0,12,19,-4.4,-2.4000000000000004,NEW
