序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
4474,566,海南海药,6.22,-1.27%,18.89%,-182000000.0
4475,688433,华曙高科,42.49,-1.28%,17.28%,-120000000.0
4476,603228,景旺电子,54.18,-1.28%,17.48%,347000000.0
4477,300213,佳讯飞鸿,10.77,-1.28%,53.97%,-234000000.0
4478,600888,新疆众和,7.68,-1.29%,9.17%,-154000000.0
4479,300632,光莆股份,13.79,-1.29%,28.34%,-43932400.0
4480,688646,ST逸飞,31.1,-1.30%,11.91%,-29088400.0
4481,301366,一博科技,43.32,-1.30%,58.78%,-130000000.0
4482,300249,依米康,17.5,-1.30%,74.35%,-332000000.0
4483,603587,地素时尚,13.42,-1.32%,5.19%,-40013900.0
4484,601838,成都银行,17.97,-1.32%,4.32%,-289000000.0
4485,301252,同星科技,30.34,-1.33%,88.98%,-129000000.0
4486,1255,博菲电气,34.04,-1.33%,42.30%,-20659500.0
4487,300821,东岳硅材,10.39,-1.33%,10.96%,-158000000.0
4488,2497,雅化集团,14.07,-1.33%,19.68%,-316000000.0
4489,576,甘化科工,11.13,-1.33%,23.72%,-188000000.0
4490,601666,平煤股份,8.09,-1.34%,5.25%,-151000000.0
4491,300056,中创环保,14.58,-1.35%,21.96%,-147000000.0
4492,2901,大博医疗,58.41,-1.35%,11.73%,-46365200.00000001
4493,2227,奥特迅,13.9,-1.35%,15.89%,-30458800.0
4494,301010,晶雪节能,20.34,-1.36%,17.69%,-21395000.0
4495,688151,华强科技,25.45,-1.36%,10.49%,-90741700.0
4496,600984,建设机械,3.62,-1.36%,12.99%,-61458300.0
4497,300009,安科生物,11.59,-1.36%,32.30%,-476999999.99999994
4498,688293,奥浦迈,55.53,-1.37%,10.60%,-16936200.0
4499,300082,奥克股份,7.94,-1.37%,12.78%,-131000000.0
4500,2067,景兴纸业,4.33,-1.37%,27.40%,-242000000.0
4501,597,东北制药,5.77,-1.37%,10.09%,-121000000.0
4502,301520,万邦医药,45.81,-1.38%,33.24%,-18248600.0
4503,688375,国博电子,62.29,-1.38%,2.44%,-118000000.0
4504,300942,易瑞生物,12.9,-1.38%,14.70%,-70388600.0
4505,600382,广东明珠,5.71,-1.38%,5.75%,-14658500.0
4506,2515,金字火腿,7.14,-1.38%,9.12%,-80157300.0
4507,601002,晋亿实业,5.67,-1.39%,16.37%,-146000000.0
4508,603530,神马电力,29.5,-1.40%,4.08%,-14848300.0
4509,603223,恒通股份,9.82,-1.41%,4.89%,-40509900.0
4510,603980,吉华集团,5.59,-1.41%,15.46%,-117000000.0
4511,2890,弘宇股份,15.4,-1.41%,11.11%,-26730500.0
4512,807,云铝股份,17.43,-1.41%,4.38%,-265000000.0
4513,301286,侨源股份,27.83,-1.42%,9.09%,-23021500.0
4514,688580,伟思医疗,54.72,-1.42%,16.36%,-77236900.0
4515,603309,维力医疗,14.61,-1.42%,11.50%,-58685400.0
4516,600219,南山铝业,4.18,-1.42%,5.79%,-364000000.0
4517,2898,*ST赛隆,15.22,-1.42%,17.69%,-55850600.00000001
4518,890,法尔胜,4.18,-1.42%,24.27%,-3740899.9999999995
4519,651,格力电器,47.11,-1.42%,5.54%,-1600000000.0
4520,688046,药康生物,18.61,-1.43%,6.55%,-37693700.0
4521,688701,卓锦股份,9.66,-1.43%,10.46%,-7831600.0
4522,605286,同力日升,43.42,-1.43%,9.77%,-64617500.0
4523,688389,普门科技,14.47,-1.43%,7.02%,-52082600.0
4524,301317,鑫磊股份,37.53,-1.44%,77.21%,-158000000.0
4525,300990,同飞股份,69.22,-1.44%,46.23%,-130000000.0
4526,300780,德恩精工,19.19,-1.44%,53.46%,-92893600.0
4527,300952,恒辉安防,29.94,-1.45%,35.36%,-29835900.0
4528,601686,友发集团,6.09,-1.46%,3.91%,-43306600.0
4529,600757,长江传媒,9.43,-1.46%,5.30%,-111000000.00000001
4530,603057,紫燕食品,21.93,-1.48%,29.45%,-27634200.0
4531,603189,网达软件,21.96,-1.48%,33.14%,-175000000.0
4532,301393,昊帆生物,57.98,-1.48%,29.90%,-11089600.0
4533,605580,恒盛能源,17.87,-1.49%,14.68%,-17813400.0
4534,603399,永杉锂业,10.43,-1.51%,21.82%,-137000000.0
4535,688314,康拓医疗,39.77,-1.51%,12.41%,-32477199.999999996
4536,688337,普源精电,40.1,-1.52%,42.67%,33406200.0
4537,2893,京能热力,11.65,-1.52%,34.26%,-94174800.0
4538,2466,天齐锂业,43.1,-1.53%,19.08%,-885000000.0
4539,3005,竞业达,24.36,-1.54%,44.86%,-181000000.0
4540,600193,*ST创兴,4.48,-1.54%,13.67%,-38848200.0
4541,301019,宁波色母,17.87,-1.54%,17.25%,-29210500.0
4542,603037,凯众股份,12.8,-1.54%,14.75%,-86785500.0
4543,999,华润三九,30.73,-1.54%,7.32%,-274000000.0
4544,300415,伊之密,24.2,-1.55%,34.47%,-266000000.0
4545,301020,密封科技,24.61,-1.56%,21.50%,-96297500.0
4546,603669,灵康药业,5.69,-1.56%,15.53%,-54638500.0
4547,2413,雷科防务,6.31,-1.56%,35.60%,-266000000.0
4548,878,云南铜业,13.86,-1.56%,12.90%,-277000000.0
4549,605186,健麾信息,23.0,-1.58%,8.46%,-54120400.0
4550,688089,嘉必优,27.95,-1.58%,15.12%,-58536200.0
4551,300224,正海磁材,18.08,-1.58%,47.59%,-576000000.0
4552,601727,上海电气,8.64,-1.59%,14.31%,-2080000000.0
4553,300138,晨光生物,13.6,-1.59%,10.96%,-59194000.0
4554,603527,众源新材,11.71,-1.60%,17.37%,-94668000.0
4555,603032,德新科技,18.41,-1.60%,19.70%,-63281700.0
4556,600012,皖通高速,15.33,-1.60%,2.31%,-75612800.0
4557,300363,博腾股份,23.44,-1.60%,26.27%,-266000000.0
4558,603113,金能科技,7.95,-1.61%,11.12%,-123000000.0
4559,600196,复星医药,28.06,-1.61%,9.14%,-573000000.0
4560,300741,华宝股份,18.97,-1.61%,4.38%,-37813300.0
4561,2328,新朋股份,6.71,-1.61%,51.11%,-270000000.0
4562,2192,融捷股份,35.38,-1.61%,15.99%,-158000000.0
4563,811,冰轮环境,14.05,-1.61%,34.73%,-200999999.99999997
4564,603790,雅运股份,19.36,-1.63%,9.72%,-15910600.0
4565,600885,宏发股份,25.71,-1.64%,6.71%,-454000000.0
4566,301309,万得凯,30.98,-1.65%,43.80%,-39396100.0
4567,603056,德邦股份,16.65,-1.65%,10.72%,-135000000.0
4568,300953,震裕科技,123.04,-1.65%,31.02%,-206999999.99999997
4569,2234,民和股份,8.93,-1.65%,15.11%,-55410300.0
4570,600619,海立股份,21.91,-1.66%,86.22%,-612000000.0
4571,2204,大连重工,6.53,-1.66%,17.61%,-373000000.0
4572,301256,华融化学,11.18,-1.67%,9.21%,-62409200.0
4573,603701,德宏股份,21.19,-1.67%,12.80%,21737700.0
4574,300226,上海钢联,28.81,-1.67%,44.77%,-376000000.0
4575,2121,科陆电子,7.07,-1.67%,28.77%,-249000000.00000003
4576,603607,京华激光,26.89,-1.68%,50.76%,-195000000.0
4577,300720,海川智能,25.12,-1.68%,14.20%,-26041300.0
4578,301327,华宝新能,62.73,-1.69%,37.12%,-38645000.0
4579,688076,ST诺泰,44.78,-1.69%,13.03%,-337000000.0
4580,603338,浙江鼎力,53.99,-1.69%,6.34%,-158000000.0
4581,600971,恒源煤电,6.93,-1.70%,5.26%,-30864500.0
4582,600547,山东黄金,30.73,-1.70%,4.32%,-572000000.0
4583,300549,优德精密,20.85,-1.70%,27.18%,-33864000.0
4584,2628,成都路桥,5.19,-1.70%,25.15%,-114999999.99999999
4585,550,江铃汽车,20.81,-1.70%,5.68%,-5604000.0
4586,3028,振邦智能,34.59,-1.71%,18.02%,-52933200.0
4587,600063,皖维高新,5.17,-1.71%,11.65%,-78307300.0
4588,2086,东方海洋,2.87,-1.71%,27.70%,-118000000.0
4589,2054,德美化工,6.88,-1.71%,15.65%,-871100.0
4590,1359,平安电工,51.41,-1.72%,88.79%,-111000000.00000001
4591,605339,南侨食品,17.74,-1.72%,2.58%,-16850800.0
4592,426,兴业银锡,19.97,-1.72%,11.32%,-127000000.0
4593,301606,绿联科技,67.14,-1.73%,6.81%,4558600.0
4594,301065,本立科技,23.83,-1.73%,16.28%,-38253700.0
4595,603023,威帝股份,4.54,-1.73%,24.28%,-44052600.0
4596,603360,百傲化学,21.61,-1.73%,11.88%,-44699600.0
4597,605009,豪悦护理,40.75,-1.74%,11.27%,-71385000.0
4598,600351,亚宝药业,7.31,-1.75%,30.15%,-245000000.00000003
4599,2961,瑞达期货,23.52,-1.75%,12.88%,-117000000.0
4600,2637,赞宇科技,10.68,-1.75%,14.09%,-42643000.0
4601,911,广农糖业,7.81,-1.76%,17.05%,-41432299.99999999
4602,300158,振东制药,8.38,-1.76%,58.11%,-338000000.0
4603,928,中钢国际,6.66,-1.77%,11.83%,-159000000.0
4604,301089,拓新药业,34.72,-1.78%,31.98%,-16991300.0
4605,2996,顺博合金,7.71,-1.78%,19.02%,-58055800.0
4606,600533,栖霞建设,2.76,-1.78%,20.09%,-26269500.0
4607,2099,海翔药业,6.07,-1.78%,4.81%,-55159600.0
4608,922,佳电股份,12.12,-1.78%,17.74%,-188000000.0
4609,300981,中红医疗,15.95,-1.79%,20.85%,-161000000.0
4610,603080,新疆火炬,21.85,-1.80%,35.88%,-113999999.99999999
4611,300327,中颖电子,27.32,-1.80%,26.11%,-174000000.0
4612,688698,伟创电气,55.8,-1.81%,21.39%,-217000000.0
4613,603516,淳中科技,113.08,-1.81%,35.05%,-102000000.0
4614,300149,睿智医药,13.05,-1.81%,47.76%,-368000000.0
4615,688267,中触媒,30.15,-1.82%,10.05%,-26041500.0
4616,301603,乔锋智能,62.1,-1.83%,35.94%,-55840500.0
4617,601918,新集能源,6.44,-1.83%,6.86%,-136000000.0
4618,300204,舒泰神,52.51,-1.83%,29.66%,-277000000.0
4619,300761,立华股份,19.75,-1.84%,11.64%,-15379600.0
4620,301263,泰恩康,34.63,-1.87%,11.33%,-151000000.0
4621,2488,金固股份,13.68,-1.87%,5.52%,-6294400.000000001
