股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600750,nan,26.17,24.37,2.25,0.98,383289225.0,3.29,7.31,7.82,1.0,0,,49.0
sh.603569,长久物流,10.92,10.69,1.05,0.71,245232170.0,1.55,1.64,5.08,0.997,1,物流,40.34
sh.603565,中谷物流,10.92,10.69,1.05,0.71,245232170.0,1.55,1.64,5.08,0.997,1,物流,40.34
sh.601939,建设银行,9.19,8.79,0.99,0.96,889049443.0,1.0,2.51,6.47,1.0,1,金融,37.02
sh.600285,nan,21.37,20.61,2.49,1.59,319129016.0,1.95,2.0,3.21,1.0,0,,35.7
sh.601666,nan,7.58,7.07,0.97,0.83,355041224.0,1.3,4.1,6.21,1.0,0,,31.76
sh.601019,nan,21.75,20.84,1.53,1.26,227681714.0,1.28,5.36,3.68,0.982,0,,30.94
sh.600256,nan,7.04,6.62,5.68,5.53,2571920020.0,0.8,-5.19,28.75,0.933,0,,28.72
sh.601919,nan,15.33,15.13,1.18,0.95,2351044078.0,1.17,0.32,8.95,0.933,0,,20.32
sh.601101,nan,8.32,8.29,2.24,2.26,277326277.0,0.84,-6.08,7.47,0.939,0,,18.29
sh.600483,nan,10.12,9.98,0.89,0.96,261412470.0,0.7,-5.34,12.97,0.947,0,,18.14
sh.601985,nan,8.7,8.65,1.01,1.01,1685407251.0,0.79,-4.11,3.38,0.959,0,,16.5
