股票代码,股票名称,建议买入价,动量分,20日收益%,60日收益%,MA20斜率%,距20日高点%
300534,陇神戎发,12.04,41.6,63.59,29.6,7.63,0.0
688382,益方生物,26.04,37.82,55.46,15.94,19.51,-7.69
001206,依依股份,23.95,36.2,42.14,28.01,19.82,-0.21
603519,立霸股份,17.6,29.61,25.0,28.84,19.85,-0.62
002541,鸿路钢构,22.2,24.93,34.55,15.99,4.37,-1.07
600267,海正药业,12.45,22.48,28.48,9.58,10.72,0.0
300561,汇金科技,19.1,19.24,25.0,12.49,1.64,-4.21
002440,闰土股份,11.78,15.68,7.19,10.4,15.61,-0.84
600352,浙江龙盛,13.11,9.71,11.86,4.3,12.27,-0.68
