code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
600642,2026-07-24,2026-07-27,8.789,8.621,200,-1.9,trend_break
601717,2026-07-24,2026-07-27,15.616,15.315,100,-1.93,trend_break
600098,2026-07-24,2026-07-27,6.406,6.324,300,-1.29,trend_break
001286,2026-07-24,2026-07-27,10.771,10.39,200,-3.54,trend_break
603983,2026-07-24,2026-07-27,30.3,34.745,100,14.67,take_partial_final
600546,2026-07-24,2026-07-28,12.953,12.108,100,-6.52,trend_break
002396,2026-07-24,2026-07-29,33.053,28.067,100,-15.08,stop_hard
600000,2026-07-24,2026-07-30,9.089,9.7,100,6.72,take_partial
601328,2026-07-24,2026-07-30,7.017,7.313,100,4.21,take_partial
600000,2026-07-24,2026-07-30,9.089,9.7,100,6.72,take_band
600566,2026-07-24,2026-08-05,27.227,26.194,100,-3.8,max_hold
600583,2026-07-24,2026-08-05,5.766,5.604,400,-2.8,max_hold
601328,2026-07-24,2026-08-05,7.017,6.923,200,-1.34,max_hold
600216,2026-07-24,2026-08-05,12.212,12.108,200,-0.85,max_hold
600989,2026-07-24,2026-08-05,24.264,22.727,100,-6.33,max_hold
