股票代码,股票名称,命中策略数,来源策略,综合评分,权重,建议买入价,建议仓位%,建议金额,最新价,止损价(下轨),止盈价(上轨),MA20,stop_pct,因子分
600050,中国联通,3,DistLo10/DistLo60/Vol20,77.5,13.8,4.1277,5.0,5366.0,4.1277,4.198773685280942,4.3786263147190585,4.2887,0.04,7.7
601916,浙商银行,1,Vol20,71.8,13.8,2.8689999999999998,5.0,5164.0,2.8689999999999998,2.8428944862971437,2.9851055137028566,2.914,0.04,15.0
601985,中国核电,1,Vol20,71.6,13.8,8.65,5.0,5190.0,8.65,8.663596053206282,9.194403946793718,8.929,0.04,15.0
600036,招商银行,1,Vol20,71.5,13.8,35.78,5.0,7156.0,35.78,35.96943169530772,38.299568304692286,37.1345,0.04,15.0
600900,长江电力,1,Vol20,70.5,13.8,25.86,5.0,5172.0,25.86,25.944330703178107,27.41966929682189,26.682,0.04,15.0
600572,康恩贝,1,Vol20,70.1,13.8,4.01,5.0,5213.0,4.01,3.9260347084645244,4.081965291535474,4.004,0.04,14.1
601818,光大银行,1,Vol20,70.0,13.8,2.97,5.0,5049.0,2.97,2.9805575460676286,3.1364424539323714,3.0585,0.04,14.2
601169,北京银行,1,Vol20,67.9,13.8,4.7219999999999995,5.0,5194.0,4.7219999999999995,4.724835245484354,4.967164754515646,4.846,0.04,12.3
600332,白云山,1,Vol20,67.2,13.8,20.37,5.0,6111.0,20.37,20.348556791933618,21.05244320806638,20.700499999999998,0.04,11.9
600018,上港集团,1,Vol20,62.9,13.8,4.705,5.0,5176.0,4.705,4.72067569275411,4.99132430724589,4.856,0.04,8.8
002223,鱼跃医疗,2,PVCorr60/Skew60,47.4,8.7,25.18,3.9,5036.0,25.18,24.260873677257617,26.625126322742386,25.443,0.0418,1.9
600901,江苏金租,1,PVCorr60,36.1,8.7,5.97,2.6,2985.0,5.97,5.9825421010454285,6.585457898954571,6.284,0.0606,7.6
300363,博腾股份,1,Skew60,28.5,4.2,15.76,1.8,3152.0,15.76,13.371595907265453,15.13740409273455,14.254500000000002,0.0625,15.0
600905,三峡能源,1,DistLo60,27.3,3.3,3.879,1.7,1940.0,3.879,3.9299827169137367,4.294017283086263,4.112,0.0425,8.4
000636,风华高科,1,CVAmt20,27.0,0.0,72.28,1.7,7228.0,72.28,48.08772286180559,76.1372771381944,62.1125,0.12,15.0
300429,强力新材,1,Skew20,26.7,0.0,17.08,1.7,1708.0,17.08,13.033007253522202,16.7219927464778,14.877500000000001,0.095,15.0
002463,沪电股份,1,CVAmt20,26.5,0.0,143.35,1.7,14335.0,143.35,123.24469922479307,147.50530077520688,135.37499999999997,0.12,15.0
600919,江苏银行,1,CVAmt20,26.0,0.0,10.9568,1.6,2191.0,10.9568,10.821422429696215,11.590177570303785,11.2058,0.04,15.0
300068,ST南都,1,PVCorr60,25.3,8.7,4.44,1.5,1776.0,4.44,3.796724176638117,4.870275823361881,4.333499999999999,0.12,-12.5
688153,唯捷创芯,1,Skew60,24.0,4.2,31.162999999999997,1.4,3116.0,31.162999999999997,27.60838821496085,32.30761178503915,29.958,0.079,2.6
600882,妙可蓝多,1,DistLo60,19.3,3.3,17.11,1.0,1711.0,17.11,17.30113701569492,19.739862984305077,18.5205,0.0918,1.0
600000,XD浦发银,1,DistLo10,16.4,0.0,8.48,0.8,848.0,8.48,8.612848496847045,9.210151503152955,8.9115,0.0426,8.1
000766,通化金马,1,VRatio10_60,14.5,0.0,24.19,0.7,2419.0,24.19,23.120516899199334,25.562483100800666,24.3415,0.0458,15.0
301230,泓博医药,1,VRatio20_120,14.5,0.0,28.307692307692303,0.7,2831.0,28.307692307692303,24.57045448212578,28.074160902489606,26.322307692307692,0.0665,15.0
002272,川润股份,1,VRatio10_60,14.5,0.0,23.2,0.7,2320.0,23.2,18.73831872917747,22.84968127082253,20.794,0.0881,15.0
603261,立航科技,1,Illiq20,14.5,0.0,49.0,0.7,4900.0,49.0,28.334072584096667,46.72792741590333,37.531,0.1062,15.0
