股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,异动催化数,异动催化词,异动催化分,综合分
sh.600426,nan,29.97,29.47,4.21,3.05,375111928.0,2.15,2.85,4.21,0.967,0,,0,,0.0,37.9
sh.600516,nan,15.71,15.04,1.52,1.01,225509758.0,1.75,2.95,8.2,1.0,0,,0,,0.0,35.98
sh.601155,nan,12.25,11.59,0.89,1.06,244698317.0,0.69,3.73,10.76,1.0,0,,0,,0.0,27.22
sh.605488,nan,5.26,5.18,1.12,0.91,236424689.0,1.12,-0.94,1.94,0.983,0,,0,,0.0,21.56
sh.600887,nan,21.14,20.86,1.74,1.63,997883357.0,1.0,-2.45,0.67,0.969,0,,0,,0.0,19.38
